,the,of,to,and,in,a,be,that,it,is,which,as,by,this,would,have,or,for,not,will,their,with,from,are,an,they,on,states,been,government,may,state,all,but,its,power,has,other,if,at,more,than,them,any,one,people,no,those,there,we
the,0.0,0.34048182704358726,0.2077661236331176,0.07237090086694309,0.31988472622478387,0.0,0.04376657824933687,0.220763723150358,0.00991407799074686,0.06641221374045801,0.09570957095709572,0.12750263435194942,0.32219570405727926,0.00995575221238938,0.0032537960954446858,0.03650586701434159,0.04447439353099731,0.35344827586206895,0.034934497816593885,0.0015015015015015015,0.0,0.2864321608040201,0.4276315789473684,0.059964726631393295,0.0,0.0019267822736030828,0.47282608695652173,0.03794642857142857,0.035196687370600416,0.06435643564356436,0.0,0.04402515723270441,0.2796208530805687,0.09595959595959597,0.0,0.017587939698492462,0.018469656992084433,0.04142011834319526,0.17615176151761516,0.2086720867208672,0.017123287671232876,0.134185303514377,0.09183673469387754,0.002785515320334262,0.021739130434782608,0.022727272727272728,0.0,0.0,0.0026666666666666666,0.0
of,0.0,0.0,0.0,0.02751601960045232,0.0,0.0,0.006189213085764809,0.054295942720763726,0.0,0.00916030534351145,0.0008250825082508251,0.006322444678609061,0.0,0.0011061946902654867,0.0065075921908893716,0.001303780964797914,0.03504043126684636,0.0,0.005822416302765648,0.012012012012012012,0.0,0.0,0.0,0.014109347442680775,0.0,0.0019267822736030828,0.0,0.017857142857142856,0.004140786749482402,0.05693069306930693,0.0021691973969631237,0.18238993710691825,0.002369668246445498,0.005050505050505051,0.0,0.40954773869346733,0.002638522427440633,0.011834319526627219,0.0,0.0,0.003424657534246575,0.04153354632587859,0.003401360544217687,0.04735376044568245,0.14130434782608695,0.2840909090909091,0.0,0.1182108626198083,0.0026666666666666666,0.0
to,0.0,0.0001392563709789723,0.0,0.04297022238974746,0.0,0.0,0.014146772767462422,0.0011933174224343676,0.017845340383344347,0.07709923664122137,0.0033003300330033004,0.09799789251844046,0.0,0.00331858407079646,0.0,0.015645371577574965,0.04447439353099731,0.0,0.10043668122270742,0.003003003003003003,0.0,0.0,0.0,0.09347442680776014,0.0,0.0,0.0,0.04464285714285714,0.006211180124223603,0.06930693069306931,0.0,0.023060796645702306,0.004739336492890996,0.02777777777777778,0.0,0.08793969849246232,0.0,0.011834319526627219,0.016260162601626015,0.0,0.0273972602739726,0.10543130990415335,0.08163265306122448,0.0,0.007246376811594203,0.04166666666666667,0.0,0.012779552715654952,0.0026666666666666666,0.003401360544217687
and,0.0,0.0002785127419579446,0.0008926578888640928,0.0,0.0007204610951008645,0.0,0.0,0.0,0.007931262392597487,0.0,0.0,0.0,0.002386634844868735,0.004424778761061947,0.0,0.0,0.0,0.004310344827586207,0.0,0.003003003003003003,0.0,0.0,0.0,0.001763668430335097,0.0,0.0,0.0,0.055803571428571425,0.0,0.08415841584158416,0.0021691973969631237,0.033542976939203356,0.004739336492890996,0.0,0.0,0.052763819095477386,0.0,0.038461538461538464,0.0,0.0027100271002710027,0.0,0.0,0.047619047619047616,0.0,0.03260869565217391,0.04924242424242424,0.0,0.0,0.0,0.0
in,0.0,0.0006962818548948615,0.0013389868332961392,0.028269883151149644,0.0,0.0,0.015473032714412024,0.01909307875894988,0.021150033046926635,0.03206106870229008,0.017326732673267328,0.01685985247629083,0.0,0.0055309734513274336,0.0227765726681128,0.02998696219035202,0.04177897574123989,0.014367816091954023,0.02183406113537118,0.024024024024024024,0.0,0.005025125628140704,0.0,0.04409171075837742,0.0,0.0038535645472061657,0.0,0.055803571428571425,0.010351966873706004,0.06435643564356436,0.019522776572668113,0.04821802935010482,0.0,0.04040404040404041,0.0,0.06532663316582915,0.023746701846965697,0.02071005917159763,0.01084010840108401,0.0,0.010273972602739725,0.07028753993610223,0.0782312925170068,0.0,0.010869565217391304,0.05303030303030303,0.0,0.025559105431309903,0.0026666666666666666,0.003401360544217687
a,0.0,0.054170728310820225,0.02700290113813881,0.011307953260459858,0.0814121037463977,0.0,0.04376657824933687,0.04534606205250597,0.005948446794448116,0.0717557251908397,0.0165016501650165,0.07797681770284509,0.08233890214797136,0.00331858407079646,0.0,0.04563233376792699,0.012129380053908356,0.06034482758620689,0.034934497816593885,0.0,0.0,0.08710217755443886,0.06085526315789473,0.010582010582010581,0.0,0.0,0.04076086956521739,0.004464285714285714,0.012422360248447206,0.01485148514851485,0.0,0.012578616352201259,0.0,0.030303030303030304,0.0,0.005025125628140704,0.02638522427440633,0.005917159763313609,0.02710027100271003,0.056910569105691054,0.003424657534246575,0.07028753993610223,0.02040816326530612,0.0,0.010869565217391304,0.007575757575757576,0.0,0.0,0.0,0.0
be,0.0,0.0,0.11314438741352377,0.0007538635506973238,0.0,0.0,0.0,0.0,0.027759418374091207,0.0,0.0,0.0,0.0,0.00663716814159292,0.34273318872017355,0.0,0.0026954177897574125,0.0,0.12227074235807861,0.3123123123123123,0.0,0.0,0.0,0.0,0.0,0.0019267822736030828,0.0,0.0,0.0,0.0024752475247524753,0.42299349240780915,0.0,0.002369668246445498,0.0025252525252525255,0.0,0.0,0.0,0.0029585798816568047,0.0,0.0,0.0,0.0,0.003401360544217687,0.0,0.0,0.003787878787878788,0.0,0.0,0.04,0.006802721088435374
that,0.0,0.013507867984960313,0.008033920999776836,0.026385224274406333,0.016210374639769452,0.0,0.004862953138815207,0.0005966587112171838,0.0013218770654329147,0.04580152671755725,0.005775577557755776,0.011591148577449946,0.011933174224343677,0.011061946902654867,0.0,0.001303780964797914,0.009433962264150945,0.014367816091954023,0.0,0.0,0.0,0.02345058626465662,0.01644736842105263,0.003527336860670194,0.0,0.0,0.019021739130434784,0.011160714285714284,0.0,0.017326732673267328,0.0,0.0041928721174004195,0.016587677725118485,0.030303030303030304,0.0,0.0,0.0,0.008875739644970414,0.005420054200542005,0.005420054200542005,0.0,0.09584664536741214,0.006802721088435374,0.008356545961002786,0.0036231884057971015,0.007575757575757576,0.0,0.003194888178913738,0.005333333333333333,0.0
it,0.0,0.008076869516780393,0.004016960499888418,0.018092725216735772,0.005763688760806916,0.0,0.0,0.054295942720763726,0.003965631196298744,0.017557251908396947,0.054455445544554455,0.0547945205479452,0.00477326968973747,0.00995575221238938,0.01735357917570499,0.002607561929595828,0.0026954177897574125,0.018678160919540228,0.001455604075691412,0.012012012012012012,0.0,0.010050251256281407,0.014802631578947368,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.024752475247524754,0.0,0.010482180293501049,0.004739336492890996,0.12626262626262627,0.0,0.017587939698492462,0.005277044854881266,0.01775147928994083,0.12195121951219512,0.0,0.017123287671232876,0.01597444089456869,0.027210884353741496,0.005571030640668524,0.0036231884057971015,0.011363636363636364,0.0,0.0,0.0,0.0
is,0.0,0.0001392563709789723,0.0,0.00603090840557859,0.0,0.0,0.0,0.007159904534606206,0.2478519497686715,0.0,0.05858085808580858,0.002107481559536354,0.0,0.05641592920353982,0.0,0.0,0.004043126684636119,0.004310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005434782608695652,0.026785714285714284,0.002070393374741201,0.04207920792079208,0.0,0.010482180293501049,0.007109004739336493,0.005050505050505051,0.0,0.010050251256281407,0.0,0.023668639053254437,0.0,0.0027100271002710027,0.0,0.01597444089456869,0.006802721088435374,0.0,0.028985507246376812,0.015151515151515152,0.0,0.0,0.344,0.0
