,the,of,to,and,in,a,be,that,it,is,which,as,by,this,would,have,or,for,not,will,their,with,from,are,an,they,on,states,been,government,may,state,all,but,its,power,has,other,if,at,more,than,them,any,one,people,no,those,there,we
the,0.0,0.3478792822185971,0.2402745995423341,0.0875309661436829,0.33642691415313225,0.0,0.03722084367245657,0.31040564373897706,0.021153846153846155,0.06438631790744467,0.13303769401330376,0.16666666666666666,0.390295358649789,0.0,0.0,0.028268551236749116,0.07407407407407408,0.3099630996309963,0.055762081784386616,0.0035211267605633804,0.0,0.31555555555555553,0.43781094527363185,0.037209302325581395,0.0,0.0,0.4952076677316294,0.04633204633204634,0.057692307692307696,0.03404255319148936,0.0,0.03428571428571429,0.2974683544303797,0.09523809523809523,0.0,0.03571428571428571,0.048611111111111105,0.031446540880503145,0.19318181818181818,0.3780487804878049,0.0,0.16379310344827586,0.06611570247933884,0.011627906976744186,0.007874015748031496,0.03424657534246575,0.0,0.0,0.030303030303030304,0.0
of,0.0,0.0,0.0,0.017341040462427744,0.0,0.0,0.007444168734491315,0.04585537918871252,0.0019230769230769232,0.004024144869215292,0.0066518847006651885,0.007692307692307693,0.0,0.0,0.011695906432748537,0.0,0.04526748971193416,0.0,0.011152416356877323,0.02112676056338028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723404255319149,0.0,0.13142857142857142,0.0189873417721519,0.013605442176870748,0.0,0.2571428571428571,0.0,0.01886792452830189,0.0,0.0,0.007575757575757576,0.06034482758620689,0.01652892561983471,0.046511627906976744,0.1653543307086614,0.2876712328767123,0.0,0.13157894736842105,0.0,0.0
to,0.0,0.0,0.0,0.02972749793559042,0.0,0.0,0.006203473945409429,0.0,0.019230769230769232,0.09456740442655936,0.0,0.04871794871794872,0.0,0.0,0.0,0.0035335689045936395,0.02880658436213992,0.0,0.09293680297397769,0.0,0.0,0.0,0.0,0.07906976744186046,0.0,0.0,0.0,0.04247104247104247,0.019230769230769232,0.02127659574468085,0.0,0.022857142857142857,0.0189873417721519,0.027210884353741496,0.0,0.10714285714285714,0.0,0.01886792452830189,0.011363636363636364,0.0,0.0,0.09482758620689655,0.024793388429752067,0.0,0.007874015748031496,0.02054794520547945,0.0,0.013157894736842105,0.0,0.0
and,0.0,0.0004078303425774878,0.0007627765064836003,0.0,0.0,0.0,0.0,0.003527336860670194,0.007692307692307693,0.0,0.0,0.0,0.002109704641350211,0.003861003861003861,0.0,0.0,0.0,0.0,0.0,0.0035211267605633804,0.0,0.0,0.004975124378109453,0.004651162790697674,0.0,0.0,0.0,0.09652509652509653,0.0,0.08936170212765958,0.0,0.04,0.0,0.0,0.0,0.02142857142857143,0.0,0.025157232704402517,0.0,0.0,0.007575757575757576,0.0,0.0743801652892562,0.0,0.0,0.08904109589041095,0.0,0.0,0.0,0.0
in,0.0,0.0,0.0015255530129672007,0.01403798513625103,0.0,0.0,0.012406947890818858,0.037037037037037035,0.021153846153846155,0.02012072434607646,0.004434589800443459,0.02564102564102564,0.0,0.0,0.017543859649122806,0.028268551236749116,0.03703703703703704,0.0036900369003690036,0.018587360594795536,0.017605633802816902,0.0,0.0,0.0,0.037209302325581395,0.0,0.005154639175257732,0.0,0.04247104247104247,0.009615384615384616,0.0425531914893617,0.010582010582010581,0.06285714285714286,0.006329113924050633,0.03401360544217687,0.0,0.05714285714285714,0.020833333333333332,0.006289308176100629,0.03409090909090909,0.0,0.007575757575757576,0.07758620689655173,0.03305785123966942,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0
a,0.0,0.03874388254486134,0.031273836765827616,0.00495458298926507,0.04988399071925754,0.0,0.028535980148883373,0.042328042328042326,0.009615384615384616,0.06639839034205232,0.017738359201773836,0.05384615384615385,0.08649789029535865,0.0,0.0,0.024734982332155476,0.01234567901234568,0.08487084870848709,0.0483271375464684,0.007042253521126761,0.0,0.06666666666666667,0.06467661691542288,0.004651162790697674,0.0,0.0,0.04792332268370607,0.02702702702702703,0.004807692307692308,0.00851063829787234,0.0,0.005714285714285714,0.006329113924050633,0.061224489795918366,0.0,0.007142857142857143,0.020833333333333332,0.0,0.045454545454545456,0.0,0.0,0.11206896551724138,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0
be,0.0,0.0,0.13424866514111367,0.005780346820809248,0.0,0.0,0.0,0.0,0.04230769230769231,0.0,0.0,0.0,0.0,0.0,0.3567251461988304,0.0,0.00411522633744856,0.0,0.08921933085501858,0.3943661971830986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011583011583011584,0.0,0.029787234042553193,0.5396825396825397,0.011428571428571429,0.012658227848101266,0.006802721088435374,0.0,0.007142857142857143,0.0,0.006289308176100629,0.0,0.0,0.0,0.008620689655172414,0.008264462809917356,0.0,0.007874015748031496,0.0,0.0,0.0,0.030303030303030304,0.0
that,0.0,0.008156606851549756,0.007627765064836004,0.037985136251032205,0.01160092807424594,0.0,0.0024813895781637717,0.0,0.0038461538461538464,0.05633802816901409,0.0,0.005128205128205128,0.010548523206751054,0.011583011583011584,0.0,0.0,0.01234567901234568,0.01107011070110701,0.0037174721189591076,0.0,0.0,0.04,0.03482587064676617,0.0,0.0,0.0,0.01597444089456869,0.011583011583011584,0.004807692307692308,0.02127659574468085,0.0,0.005714285714285714,0.012658227848101266,0.05442176870748299,0.0,0.0,0.0,0.025157232704402517,0.0,0.0,0.0,0.07758620689655173,0.03305785123966942,0.0,0.007874015748031496,0.00684931506849315,0.0,0.013157894736842105,0.0,0.0
it,0.0,0.009787928221859707,0.011441647597254006,0.008257638315441783,0.00580046403712297,0.0,0.0012406947890818859,0.054673721340388004,0.007692307692307693,0.024144869215291753,0.05321507760532151,0.046153846153846156,0.006329113924050632,0.0,0.023391812865497075,0.0035335689045936395,0.00411522633744856,0.01107011070110701,0.0,0.02112676056338028,0.0,0.022222222222222223,0.004975124378109453,0.0,0.0,0.0,0.003194888178913738,0.015444015444015444,0.0,0.025531914893617023,0.005291005291005291,0.005714285714285714,0.0,0.05442176870748299,0.0,0.007142857142857143,0.0,0.012578616352201259,0.07954545454545454,0.0,0.007575757575757576,0.02586206896551724,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0024813895781637717,0.005291005291005291,0.2230769230769231,0.0,0.06208425720620843,0.005128205128205128,0.0,0.03474903474903475,0.0,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011583011583011584,0.0,0.059574468085106386,0.0,0.02857142857142857,0.0,0.027210884353741496,0.0,0.05714285714285714,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.04132231404958678,0.0,0.031496062992125984,0.0273972602739726,0.0,0.0,0.2727272727272727,0.0
