,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,1.0554312492084265e-07,0.0029894562418204076,0.00807246590957065,1.3720606239709545e-06,0.003511419766116435,0.005141427787393929,0.0017664752818001435,0.0011827690294254232,0.0014540676320344492,0.0003828576856503567,0.0020916536496812595,0.0010603390045172457,0.00010749567273187823,0.0013705302486596023,0.0008341600878118799,6.105669776670747e-05,5.910414995567188e-06,0.0001442774517667919,3.467091653649681e-05,0.000869991978722506,3.4301515599273862e-06,0.0,0.0,8.316798243762401e-05,6.60699962004475e-05,0.0,3.504031747371976e-05,0.0001578925148815806,9.794401992654198e-05,3.4301515599273862e-06,5.2771562460421326e-08,0.0009258770633680921,8.443449993667412e-07,2.744121247941909e-06,1.3826149364630388e-05,3.1662937476252797e-07,4.1689534343732845e-06,1.1082028116688479e-06,9.657195930257103e-06,8.126820618904883e-06,0.0,0.0,4.7916578714062565e-05,3.8839869970870095e-05,1.9208848735593362e-05,8.971165618271625e-07,0.0008752163634060877,1.6623042175032716e-05,5.804871870646346e-06,1.0448769367163422e-05
and,4.221724996833706e-07,0.0,1.319289061510533e-06,8.971165618271625e-07,1.1082028116688478e-05,3.467091653649681e-05,6.8603031198547725e-06,1.5831468738126398e-06,5.910414995567188e-06,3.377379997466965e-06,1.3403976864947017e-05,0.0,3.905095622071178e-06,2.7968928104023303e-06,2.0580909359564316e-06,5.2771562460421326e-08,5.435470933423396e-06,1.8470046861147464e-06,1.1768058428673956e-05,2.110862498416853e-07,3.145185122641111e-05,4.7494406214379195e-07,0.0,1.319289061510533e-06,3.0079790602440155e-06,0.0,5.277156246042132e-07,0.0,5.2771562460421326e-08,1.0501540929623844e-05,4.538354371596234e-06,2.2164056233376958e-06,7.388018744458985e-07,2.321948748258538e-06,1.952547811035589e-06,5.2771562460421326e-08,3.4301515599273862e-06,0.0,8.548993118588255e-06,7.1769324946173e-06,0.0,1.0554312492084265e-07,0.0,5.277156246042132e-07,0.0,2.638578123021066e-06,2.638578123021066e-07,6.860303119854772e-07,5.435470933423396e-06,4.221724996833706e-07
of,0.0,1.90505340482121e-05,5.2771562460421326e-08,0.0,0.0,1.0554312492084265e-07,0.0,2.3061172795204118e-05,0.0,4.749440621437919e-06,5.2771562460421326e-08,0.00014659940051505043,2.269177185798117e-06,0.0,0.0,5.2771562460421326e-08,0.0,6.860303119854772e-07,1.5303753113522184e-06,0.0,1.0554312492084265e-07,0.0,0.0,1.0554312492084265e-07,8.971165618271625e-07,0.0,4.7494406214379195e-07,2.955207497783594e-06,5.277156246042132e-07,8.654536243509097e-06,0.0,0.0,5.0660699962004475e-06,5.2771562460421326e-08,8.232363743825726e-06,0.0,7.388018744458985e-07,0.0,1.4248321864313759e-06,4.696669058977498e-06,0.0,0.0,5.382699370962975e-06,1.0554312492084265e-07,6.965846244775615e-06,0.0,0.0,5.277156246042132e-07,0.0004029108793853168,5.2771562460421326e-08
a,4.7494406214379195e-07,0.0010475155148393634,0.0010304175286021868,8.443449993667412e-07,0.0008380124118714906,0.0013466775024274919,0.0008234474606324143,8.797019462152235e-05,0.0011910541647317094,0.00190631992232026,0.00040702706125722967,0.0017837843542871617,0.00021778823827415882,0.00019061088360704183,0.0003573690209819732,0.00011430320428927258,4.485582809135813e-06,0.0006802782116772913,0.00011757504116181872,0.0002697154557352134,3.1662937476252797e-07,0.0,0.0,0.00019187740110609194,0.0004458141596656394,5.2771562460421326e-08,6.765314307426013e-05,0.00010744290116941782,0.0001846476970490142,5.804871870646345e-07,5.2771562460421326e-08,4.337822434246633e-05,0.0,4.7494406214379195e-07,5.277156246042132e-07,5.2771562460421326e-08,1.952547811035589e-06,6.174272807869295e-06,1.2665174990501119e-05,1.83117321737662e-05,0.0,2.638578123021066e-07,0.0001440135939544898,0.00039462574407903066,2.1636340608772744e-06,4.221724996833706e-07,0.00024195761388103178,6.622831088782876e-05,5.488242495883818e-06,4.068687465698484e-05
to,0.0,0.00031446574070165067,2.638578123021066e-07,4.221724996833706e-07,5.2771562460421326e-08,1.4881580613838814e-05,3.6940093722294926e-07,2.269177185798117e-06,3.1662937476252797e-07,8.169037868873221e-05,5.414362308439228e-05,8.126820618904883e-06,2.902435935323173e-06,5.2771562460421326e-08,7.915734369063199e-07,1.7731244986701566e-05,3.5356946848482286e-06,2.147802592139148e-05,5.6412800270190394e-05,5.2771562460421326e-08,1.1979144678515641e-05,0.0,0.0,5.356313589732765e-05,8.443449993667412e-06,0.0,4.617511715286866e-05,2.147802592139148e-05,2.2269599358297798e-05,1.3720606239709545e-05,0.0,8.390678431206991e-06,1.3720606239709545e-06,2.638578123021066e-07,4.116181871912863e-06,1.0554312492084265e-07,1.4881580613838814e-05,0.0,6.601722463798707e-05,2.823278591632541e-05,0.0,0.0,2.7652298729260775e-05,3.0079790602440155e-06,4.327268121754549e-06,1.5831468738126398e-07,0.0,7.9157343690632e-06,1.0026596867480052e-05,1.0501540929623844e-05
in,0.0,6.0740068391944944e-05,1.2665174990501119e-06,0.0,1.6886899987334824e-06,1.7414615611939038e-06,3.1662937476252797e-06,2.1583569046312322e-05,7.124160932156879e-06,3.6570692785071976e-05,1.1820829991134376e-05,6.279815932790138e-06,6.554228057584328e-05,2.638578123021066e-07,7.388018744458985e-07,3.905095622071178e-06,5.329927808502554e-06,3.1082450289188164e-05,1.7361844049478617e-05,1.0554312492084265e-07,1.8997762485751678e-06,5.2771562460421326e-08,0.0,4.907755308819183e-06,1.9789335922657996e-05,0.0,1.3298433740026174e-05,2.9604846540296365e-05,9.12948030565289e-06,4.960526871279605e-06,5.2771562460421326e-08,5.277156246042132e-07,2.8496643728627517e-06,2.638578123021066e-07,3.6940093722294926e-07,5.2771562460421326e-08,7.915734369063199e-07,2.110862498416853e-07,6.965846244775615e-06,5.382699370962975e-06,0.0,5.2771562460421326e-08,1.5462067800903447e-05,3.3615485287288384e-05,3.219065310085701e-06,2.110862498416853e-07,0.0,8.865622493350783e-06,8.865622493350783e-06,4.5172457466120656e-05
for,3.1662937476252797e-07,7.47245324439566e-05,4.7494406214379195e-07,1.0554312492084265e-07,1.160974374129269e-06,1.3245662177565753e-05,2.110862498416853e-07,4.116181871912863e-06,5.804871870646345e-07,1.3456748427407439e-05,3.852324059610757e-06,5.804871870646346e-06,1.477603748891797e-06,1.0554312492084265e-07,4.221724996833706e-07,1.6886899987334824e-06,1.3720606239709545e-06,2.1636340608772744e-06,1.2612403428040696e-05,0.0,1.0554312492084265e-07,5.2771562460421326e-08,0.0,2.902435935323173e-06,3.694009372229493e-06,0.0,7.018617807236037e-06,6.353696120234727e-05,3.694009372229493e-06,1.952547811035589e-06,0.0,6.860303119854772e-07,3.1662937476252797e-07,5.2771562460421326e-08,0.0,0.0,1.5831468738126398e-07,0.0,4.854983746358762e-06,6.438130620171402e-06,0.0,0.0,3.145185122641111e-05,2.110862498416853e-07,6.332587495250559e-07,1.5831468738126398e-07,5.2771562460421326e-08,3.1662937476252797e-07,6.5964453075526655e-06,4.7494406214379195e-07
that,0.0,0.0001982099886013425,2.4380461856714654e-05,0.0,9.97382530501963e-06,1.2876261240342804e-05,5.435470933423396e-06,5.2771562460421326e-08,2.744121247941909e-06,5.129395871152953e-05,9.446109680415418e-06,3.7995524971503356e-06,0.0,4.38003968421497e-06,5.277156246042132e-07,2.638578123021066e-07,2.638578123021066e-07,5.435470933423396e-06,1.3720606239709545e-06,2.2164056233376958e-06,4.221724996833706e-07,0.0,0.0,8.971165618271625e-07,1.2137459365896905e-06,0.0,1.0554312492084265e-06,6.385359057710981e-06,3.7995524971503356e-06,3.6940093722294926e-07,0.0,7.915734369063199e-07,1.5831468738126398e-07,0.0,5.2771562460421326e-08,0.0,0.0,0.0,2.427491873179381e-06,3.6940093722294926e-07,0.0,0.0,4.221724996833706e-07,3.6940093722294926e-07,5.2771562460421326e-08,9.498881242875839e-07,8.443449993667412e-07,0.0,5.98957233925782e-05,3.0818592476886056e-05
with,0.0,3.213788153839659e-05,5.2771562460421326e-08,1.0554312492084265e-07,2.638578123021066e-07,1.4459408114155443e-05,4.7494406214379195e-07,1.7836788111622407e-05,4.221724996833706e-07,1.160974374129269e-06,3.4301515599273862e-06,4.1689534343732845e-06,6.332587495250559e-06,2.110862498416853e-07,1.5831468738126398e-07,3.6940093722294926e-07,2.0580909359564316e-06,1.1082028116688479e-06,2.6491324355131506e-05,5.2771562460421326e-08,8.971165618271625e-07,0.0,0.0,2.585806560560645e-06,2.638578123021066e-06,0.0,2.2164056233376958e-06,3.0818592476886056e-05,2.902435935323173e-06,2.110862498416853e-06,0.0,5.2771562460421326e-08,3.1662937476252797e-07,0.0,1.0554312492084265e-07,0.0,3.6940093722294926e-07,0.0,1.6411955925191034e-05,6.174272807869295e-06,0.0,0.0,3.6412378097690714e-06,2.6913496854814875e-06,5.2771562460421326e-08,2.110862498416853e-07,1.0554312492084265e-07,2.638578123021066e-07,9.235023430573732e-06,2.585806560560645e-06
is,2.321948748258538e-06,8.079326212690504e-05,7.915734369063199e-07,1.5831468738126398e-07,6.332587495250559e-07,4.221724996833706e-07,6.332587495250559e-07,0.00029837041415122216,4.221724996833706e-07,3.6940093722294926e-07,7.915734369063199e-07,1.8470046861147464e-06,5.2771562460421326e-08,5.804871870646345e-07,5.804871870646345e-07,0.0,0.00012812935365390298,0.0,0.0006336809220247393,1.0554312492084265e-07,6.860303119854772e-07,5.2771562460421326e-08,0.0,2.110862498416853e-07,2.110862498416853e-07,0.0,4.7494406214379195e-07,1.0818170304386372e-05,5.646557183265082e-06,6.332587495250559e-07,6.564782370076413e-05,4.221724996833706e-07,6.939460463545404e-05,5.2771562460421326e-08,1.5831468738126398e-07,0.0,4.7494406214379195e-07,0.0,6.332587495250559e-07,4.221724996833706e-07,0.0,0.0,5.2771562460421326e-08,5.2771562460421326e-08,0.00014839363363870477,7.388018744458985e-07,5.2771562460421326e-08,0.0,1.271794655296154e-05,2.638578123021066e-07
