,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,7.251390976565717e-05,0.0011458251213817886,0.0035774114079304233,1.7557847400885513e-07,0.0014608129037536747,0.0029419929104923764,0.0008457615093006551,0.0014855694685889233,0.0007686825592107678,0.000962345616042535,0.0017684263902171889,0.00034869884938158627,0.00011114117404760529,0.000464229485279413,0.0005153228212159898,8.37509321022239e-05,4.7406187982390884e-05,3.476453785375332e-05,0.00020595355001238707,0.00018769338871546613,3.1604125321593925e-06,0.0,1.7557847400885513e-07,0.00023369494890578617,9.252985580266666e-05,7.023138960354205e-07,0.00019418979225379379,0.00013958488683703984,0.0001232560887542163,4.8459658826444014e-05,2.984834058150537e-06,0.0005469269465375838,2.2474044673133457e-05,1.0007973018504742e-05,1.2817228602646425e-05,2.8970448211461095e-05,1.6504376556832383e-05,1.5802062660796963e-06,7.918589177799366e-05,2.4580986361239717e-06,0.0,4.2138833762125234e-05,1.439743486872612e-05,5.091775746256799e-06,2.1069416881062617e-05,5.442932694274509e-06,0.0001948921061498292,6.145246590309929e-06,0.000224213711309308,2.984834058150537e-06
and,0.0,1.0534708440531308e-06,2.1069416881062617e-05,1.0534708440531308e-06,5.618511168283364e-05,6.004783811102846e-05,4.793292340441745e-05,1.2466071654628715e-05,3.968073512600126e-05,4.038304902203668e-06,2.493214330925743e-05,6.49640353832764e-06,5.267354220265654e-06,1.5802062660796964e-05,7.725452856389625e-06,1.0534708440531308e-06,7.725452856389625e-06,7.023138960354205e-07,7.023138960354205e-05,1.5626484186788105e-05,3.318433158767362e-05,0.0,3.5115694801771026e-07,3.1604125321593925e-06,5.091775746256799e-06,0.0,4.565040324230233e-06,1.7557847400885513e-07,1.5802062660796963e-06,3.8451685807939275e-05,3.5115694801771026e-07,3.24820176916382e-05,1.4748591816743832e-05,4.389461850221378e-06,2.633677110132827e-06,3.5115694801771025e-06,4.038304902203668e-06,0.0,3.6344744119833015e-05,3.5115694801771025e-06,0.0,5.794089642292219e-06,0.0,5.267354220265654e-07,0.0,1.7557847400885513e-07,4.038304902203668e-06,1.7557847400885513e-07,3.283317463965591e-05,5.267354220265654e-07
of,7.444527297975457e-05,1.545090571277925e-05,2.914602668546995e-05,0.0,7.023138960354205e-06,3.8627264281948125e-06,2.1069416881062617e-06,1.597764113480582e-05,3.8627264281948125e-06,5.091775746256799e-05,1.2290493180619858e-06,1.1939336232602148e-05,2.2649623147142312e-05,5.267354220265654e-07,9.656816070487032e-06,2.809255584141682e-06,1.0534708440531308e-06,5.091775746256799e-06,6.320825064318785e-06,7.023138960354205e-07,0.0,0.0,0.0,1.9313632140974063e-06,3.5115694801771025e-06,0.0,2.1069416881062617e-06,2.2825201621151167e-06,8.778923700442756e-07,1.0885865388549018e-05,1.0534708440531308e-06,5.267354220265654e-07,5.267354220265654e-07,1.0534708440531308e-06,2.809255584141682e-06,3.5115694801771026e-07,2.633677110132827e-06,0.0,2.1069416881062617e-06,0.0,0.0,7.023138960354205e-07,1.7557847400885513e-07,1.2290493180619858e-06,1.404627792070841e-06,0.0,7.023138960354205e-07,3.5115694801771026e-07,0.0002491458546185654,0.0
a,3.5115694801771026e-07,0.0007307576088248551,0.0006998557973992965,3.5115694801771026e-07,0.001787564443884154,0.0015710761854312357,0.0005197122830662112,0.00035659988071198476,0.0006391056453922327,0.0014990890110876051,0.0004789780770961568,0.0008203026305693712,0.0006510449816248348,0.00014924170290752685,0.0002603828769551322,0.0003924178894097912,0.00019383863530577605,0.00011096559557359644,0.0003894330553516407,0.00026354328948729154,1.5802062660796963e-06,0.0,0.0,0.0003961050373639772,0.00024739006987847687,1.0885865388549018e-05,8.497998142028589e-05,6.478845690926755e-05,0.00016188335303616444,1.0359129966522453e-05,1.264165012863757e-05,6.14524659030993e-05,5.197122830662112e-05,3.40622239577179e-05,2.1244995355071472e-05,6.408614301323213e-05,0.0005743171884829651,3.5115694801771025e-06,0.00014186740699915495,3.8627264281948125e-06,0.0,5.47804838907628e-05,5.091775746256799e-05,2.73902419453814e-05,9.516353291279948e-05,1.7557847400885513e-07,7.023138960354205e-05,2.809255584141682e-06,2.879486973745224e-05,1.2290493180619858e-06
to,0.0,0.0003669590106785072,2.2825201621151167e-06,5.267354220265654e-07,1.7206690452867803e-05,7.901031330398482e-06,1.632879808282353e-05,1.5802062660796964e-05,3.5115694801771025e-06,0.0003169191455859835,4.863523730045287e-05,1.299280707665528e-05,2.809255584141682e-06,1.0534708440531308e-06,1.7557847400885513e-07,2.4756564835248575e-05,8.603345226433902e-06,9.656816070487032e-06,0.00011359927268372927,5.267354220265654e-07,4.740618798239088e-06,0.0,0.0,0.000249672590040592,3.0199497529523084e-05,0.0,4.793292340441745e-05,2.2298466199124602e-05,7.251390976565717e-05,1.439743486872612e-05,1.2290493180619858e-06,2.4580986361239717e-06,2.1596152303089182e-05,2.563445720529285e-05,1.0710286914540163e-05,5.390259152071852e-05,0.0,0.0,0.00045334361989086394,1.0007973018504742e-05,0.0,4.1963255288116375e-05,3.8627264281948125e-06,5.091775746256799e-06,2.809255584141682e-06,1.7557847400885513e-07,1.7557847400885513e-07,1.4573013342734975e-05,2.019152451101834e-05,8.778923700442756e-07
in,1.0534708440531308e-06,8.743808005640985e-05,7.725452856389625e-06,0.0,3.213086074362049e-05,1.0534708440531308e-06,8.603345226433902e-06,4.0909784444063245e-05,7.023138960354205e-06,3.564243022379759e-05,1.299280707665528e-05,1.597764113480582e-05,2.6512349575337125e-05,1.2290493180619858e-06,7.023138960354205e-07,1.1061443862557873e-05,1.9664789088991773e-05,5.267354220265654e-06,9.04229141145604e-05,5.267354220265654e-07,1.7557847400885513e-06,0.0,0.0,6.84756048634535e-06,2.2825201621151167e-05,8.778923700442756e-07,2.73902419453814e-05,3.8451685807939275e-05,4.3192304606178364e-05,2.3527515517186587e-05,1.2290493180619858e-06,6.84756048634535e-06,8.603345226433902e-06,2.967276210749652e-05,1.5802062660796963e-06,1.2290493180619858e-05,3.3359910061682475e-06,0.0,4.038304902203668e-05,1.2290493180619858e-06,0.0,1.5802062660796964e-05,1.7557847400885513e-07,4.740618798239088e-06,1.4748591816743832e-05,0.0,1.7557847400885513e-07,1.404627792070841e-06,6.84756048634535e-06,3.5115694801771026e-07
for,0.0,6.566634927931182e-05,2.984834058150537e-06,0.0,8.076609804407337e-06,4.038304902203668e-06,2.633677110132827e-06,4.389461850221378e-06,4.916197272247943e-06,1.5802062660796964e-05,6.320825064318785e-06,6.320825064318785e-06,2.633677110132827e-06,1.2290493180619858e-06,5.267354220265654e-07,0.0,2.4580986361239717e-06,7.023138960354205e-07,3.546685174978874e-05,8.778923700442756e-07,1.5802062660796963e-06,0.0,0.0,3.8627264281948125e-06,2.809255584141682e-06,1.7557847400885513e-07,7.19871743436306e-06,2.598561415331056e-05,1.1237022336566728e-05,4.740618798239088e-06,0.0,4.916197272247943e-06,1.7557847400885513e-06,3.5115694801771026e-07,7.023138960354205e-07,5.267354220265654e-07,1.5802062660796963e-06,0.0,0.00029286489464677034,1.7557847400885513e-06,0.0,1.5802062660796963e-06,7.023138960354205e-07,3.5115694801771026e-07,0.0,0.0,3.5115694801771026e-07,1.7557847400885513e-07,6.145246590309929e-06,0.0
that,5.442932694274509e-06,0.0003242934414943554,5.63606901568425e-05,0.0,1.87868967189475e-05,5.390259152071852e-05,1.843573977092979e-05,1.404627792070841e-06,1.5099748764761542e-05,0.0009170463697482504,1.4573013342734975e-05,1.5802062660796963e-06,4.213883376212523e-06,5.618511168283364e-06,1.7557847400885513e-06,8.778923700442756e-07,1.2290493180619858e-06,2.809255584141682e-06,7.725452856389625e-06,1.9313632140974063e-05,2.4580986361239717e-06,0.0,0.0,3.687147954185958e-06,5.091775746256799e-06,0.0,1.0534708440531308e-05,2.633677110132827e-05,2.4054250939213152e-05,2.984834058150537e-06,5.091775746256799e-06,1.36951209726907e-05,3.5115694801771026e-07,5.267354220265654e-07,1.7557847400885513e-07,3.5115694801771026e-07,1.7557847400885513e-07,5.267354220265654e-07,2.844371278943453e-05,3.3359910061682475e-06,0.0,1.7557847400885513e-06,8.778923700442756e-07,3.5115694801771026e-07,3.5115694801771026e-07,1.7557847400885513e-07,2.1069416881062617e-06,0.0,1.6153219608814673e-05,2.2474044673133457e-05
with,0.0,3.9153999703974695e-05,1.2290493180619858e-06,0.0,3.1604125321593925e-06,2.7565820419390255e-05,1.7557847400885513e-07,1.913805366696521e-05,7.023138960354205e-07,1.404627792070841e-06,2.633677110132827e-06,6.671982012336495e-06,5.267354220265654e-07,1.404627792070841e-06,5.267354220265654e-07,5.267354220265654e-07,1.2290493180619858e-06,3.5115694801771026e-07,2.7916977367407965e-05,3.5115694801771026e-07,1.7557847400885513e-07,0.0,0.0,8.778923700442756e-07,1.2290493180619858e-06,0.0,8.778923700442756e-07,4.3894618502213784e-05,9.832394544495887e-06,4.038304902203668e-06,0.0,1.5802062660796963e-06,0.0,7.023138960354205e-07,1.7557847400885513e-07,8.778923700442756e-07,1.7557847400885513e-07,0.0,1.7909004348903223e-05,1.7557847400885513e-06,0.0,8.778923700442756e-07,1.7557847400885513e-07,0.0,0.0,1.7557847400885513e-07,0.0,0.0,2.1069416881062617e-06,0.0
is,3.5115694801771026e-07,0.00024282502955424664,1.9664789088991773e-05,1.7557847400885513e-07,8.076609804407337e-06,6.671982012336495e-06,1.2114914706611003e-05,0.0006089061478627096,3.1604125321593925e-06,2.3703093991195442e-05,5.267354220265654e-06,3.09018114255585e-05,1.404627792070841e-06,1.404627792070841e-06,5.267354220265654e-07,3.8627264281948125e-06,0.0007595524785623073,0.0,0.001907660120106211,1.7557847400885513e-07,3.5115694801771025e-06,0.0,1.7557847400885513e-07,7.023138960354205e-07,2.4580986361239717e-06,0.0,3.5115694801771025e-06,0.00011798873453395065,1.0534708440531308e-05,1.404627792070841e-06,9.481237596478177e-06,8.778923700442757e-06,0.00010359129966522452,1.2290493180619858e-06,1.404627792070841e-06,1.5802062660796963e-06,3.5115694801771026e-07,0.0,7.549874382380771e-06,0.0,0.0,1.404627792070841e-06,3.5115694801771026e-07,0.0,0.00022719854536745854,1.7557847400885513e-07,1.7557847400885513e-07,0.0,2.8619291263443385e-05,1.7557847400885513e-07
