,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,5.267354220265654e-07,0.001013087795031094,0.003982470947468852,0.0,0.0014227123748937532,0.0030394389635672913,0.0008631437782275318,0.0014843404192708613,0.0007930879670979986,0.0009879800732478278,0.001827596335958173,0.00033008753113664764,0.00010113320102910056,0.00046932126102566975,0.0005116356732618038,0.00010499592745729536,3.687147954185958e-06,4.1963255288116375e-05,3.107738989956736e-05,0.00020173966663617455,3.5115694801771026e-07,0.0,0.0,0.0004742374582979177,0.00016837975657449207,0.0,0.00017206690452867802,7.110928197358633e-05,0.00010148435797711826,1.5802062660796963e-06,0.0,0.0005990737533182137,4.565040324230233e-06,0.0,1.0534708440531308e-06,3.5115694801771026e-07,7.023138960354205e-07,1.404627792070841e-06,2.0893838407053762e-05,1.404627792070841e-06,0.0,1.7557847400885513e-07,1.984036756300063e-05,1.3519542498681845e-05,3.142854684758507e-05,1.7557847400885513e-07,0.000198754832578024,7.023138960354205e-06,4.213883376212523e-06,7.023138960354205e-07
and,0.0,0.0,7.19871743436306e-06,3.5115694801771026e-07,3.09018114255585e-05,5.074217898855913e-05,2.3527515517186587e-05,1.2290493180619858e-05,1.7557847400885513e-05,6.671982012336495e-06,1.808458282291208e-05,1.7557847400885513e-07,3.24820176916382e-05,1.0534708440531308e-05,1.2290493180619858e-06,5.267354220265654e-07,1.0885865388549018e-05,1.0534708440531308e-06,0.00010868307541148133,1.1237022336566728e-05,5.32002776246831e-05,0.0,0.0,1.3168385550664135e-05,1.2114914706611003e-05,0.0,4.916197272247943e-06,0.0,1.7557847400885513e-07,4.6001560190320044e-05,3.5115694801771026e-07,2.0367102985027197e-05,3.5115694801771026e-07,7.023138960354205e-07,2.809255584141682e-06,3.5115694801771026e-07,7.023138960354205e-06,0.0,7.04069680775509e-05,8.076609804407337e-06,0.0,3.5115694801771026e-07,0.0,7.023138960354205e-07,0.0,1.7557847400885513e-07,1.5802062660796963e-06,8.778923700442756e-07,4.2314412236134085e-05,1.5802062660796963e-06
of,1.7557847400885513e-07,7.374295908371916e-06,1.7557847400885513e-07,0.0,0.0,0.0,0.0,1.3168385550664135e-05,0.0,8.427766752425047e-06,0.0,7.023138960354205e-07,1.9313632140974063e-06,0.0,0.0,5.267354220265654e-07,0.0,3.5115694801771026e-07,1.0534708440531308e-06,0.0,0.0,0.0,0.0,3.3359910061682475e-06,3.687147954185958e-06,0.0,1.0534708440531308e-06,1.0534708440531308e-06,3.5115694801771026e-07,1.738226892687666e-05,0.0,0.0,0.0,0.0,0.0001225537748581809,0.0,0.0,0.0,1.404627792070841e-06,0.0,0.0,0.0,1.7557847400885513e-07,3.5115694801771026e-07,1.7557847400885513e-07,0.0,0.0,1.7557847400885513e-07,0.0003650276474644098,5.267354220265654e-07
a,0.0,0.0005943331345199746,0.000704245259249518,0.0,0.0015011959527757113,0.0016488574494171585,0.0005239261664424237,0.0002442296573463175,0.0006628087393834282,0.0017426163545378871,0.0004909174133287589,0.0008692890248178418,0.0006501670892547905,0.00015328000780973053,0.00026670370201945095,0.00026213866169522073,4.213883376212523e-06,0.00017276921842471345,9.920183781500315e-05,0.0002724977916617432,0.0,0.0,0.0,0.0011904220537800377,0.0008958013743931789,9.481237596478177e-06,0.0001581962050819785,1.545090571277925e-05,0.00013098154161060593,1.5802062660796963e-06,0.0,5.811647489693105e-05,5.267354220265654e-07,0.0,5.267354220265654e-07,0.0,1.7557847400885513e-06,4.740618798239088e-06,4.038304902203668e-05,3.3359910061682475e-06,0.0,5.267354220265654e-07,9.621700375685261e-05,0.0002284275946855205,5.969668116301074e-06,0.0,7.426969450574572e-05,1.0534708440531308e-05,2.4580986361239717e-06,0.0
to,0.0,0.0003506302125956837,1.7557847400885513e-07,7.023138960354205e-07,5.267354220265654e-07,4.916197272247943e-06,0.0,4.565040324230233e-06,7.023138960354205e-07,0.0003448361229533915,4.5299246294284624e-05,1.0359129966522453e-05,7.901031330398482e-06,1.7557847400885513e-07,1.7557847400885513e-07,3.177970379560278e-05,4.389461850221378e-06,9.832394544495887e-06,9.23542773286578e-05,0.0,1.2466071654628715e-05,0.0,0.0,0.00048266522505034274,3.230643921762935e-05,0.0,5.881878879296647e-05,6.49640353832764e-06,5.091775746256799e-05,1.5275327238770395e-05,0.0,4.038304902203668e-06,1.9313632140974063e-06,1.7557847400885513e-07,2.633677110132827e-06,3.5115694801771026e-07,2.809255584141682e-06,0.0,0.000422968543887332,1.2290493180619858e-05,0.0,3.5115694801771026e-07,9.481237596478177e-06,5.442932694274509e-06,3.1604125321593925e-06,3.5115694801771026e-07,1.7557847400885513e-07,2.9497183633487664e-05,1.404627792070841e-05,2.633677110132827e-06
in,0.0,8.217072583614421e-05,2.984834058150537e-06,1.0534708440531308e-06,2.2825201621151167e-06,8.778923700442756e-07,6.320825064318785e-06,1.87868967189475e-05,2.984834058150537e-06,4.3719040028204925e-05,1.2114914706611003e-05,1.334396402467299e-05,6.391056453922327e-05,3.5115694801771026e-07,3.5115694801771026e-07,1.773342587489437e-05,2.0718259933044907e-05,3.9153999703974695e-05,6.935349723349778e-05,0.0,2.2825201621151167e-06,0.0,0.0,1.439743486872612e-05,6.250593674715242e-05,0.0,4.1787676814107524e-05,3.055065447754079e-05,3.932957817798355e-05,2.4405407887230862e-05,0.0,3.8627264281948125e-06,7.023138960354205e-07,1.7557847400885513e-07,1.7557847400885513e-07,1.7557847400885513e-07,4.565040324230233e-06,0.0,3.722263648987729e-05,1.9313632140974063e-06,0.0,3.5115694801771026e-07,8.427766752425047e-06,2.1244995355071472e-05,1.1939336232602148e-05,0.0,1.7557847400885513e-07,5.267354220265654e-06,9.305659122469322e-06,1.2290493180619858e-06
for,0.0,6.513961385728525e-05,1.5802062660796963e-06,1.7557847400885513e-07,2.984834058150537e-06,4.389461850221378e-06,3.5115694801771026e-07,3.3359910061682475e-06,1.7557847400885513e-06,1.597764113480582e-05,4.740618798239088e-06,5.794089642292219e-06,3.5115694801771025e-06,1.0534708440531308e-06,0.0,0.0,2.2825201621151167e-06,1.5802062660796963e-06,3.7047058015868435e-05,1.7557847400885513e-07,1.7557847400885513e-06,0.0,0.0,5.794089642292219e-06,6.84756048634535e-06,0.0,1.404627792070841e-05,1.4924170290752687e-05,1.0359129966522453e-05,5.618511168283364e-06,0.0,3.1604125321593925e-06,3.5115694801771026e-07,1.7557847400885513e-07,1.7557847400885513e-07,0.0,3.5115694801771026e-07,0.0,0.000296903199548974,2.2825201621151167e-06,0.0,0.0,1.1237022336566728e-05,5.267354220265654e-07,0.0,0.0,3.5115694801771026e-07,3.5115694801771026e-07,6.671982012336495e-06,2.633677110132827e-06
that,0.0,0.00032850732487056796,5.47804838907628e-05,0.0,1.264165012863757e-05,5.284912067666539e-05,1.1061443862557873e-05,5.267354220265654e-07,1.4748591816743832e-05,0.0009233671948125691,1.2290493180619858e-05,1.2290493180619858e-06,4.213883376212523e-06,6.145246590309929e-06,1.7557847400885513e-06,0.0,3.5115694801771026e-07,2.809255584141682e-06,7.19871743436306e-06,1.9664789088991773e-05,1.404627792070841e-06,0.0,0.0,5.618511168283364e-06,6.671982012336495e-06,0.0,1.1763757758593293e-05,1.843573977092979e-05,2.493214330925743e-05,7.023138960354205e-07,0.0,8.076609804407337e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.668792804934598e-05,3.3359910061682475e-06,0.0,0.0,1.0534708440531308e-06,1.7557847400885513e-07,0.0,1.7557847400885513e-07,2.2825201621151167e-06,0.0,4.3192304606178364e-05,3.388664548370904e-05
with,0.0,3.9856313600010115e-05,3.5115694801771026e-07,0.0,3.5115694801771026e-07,2.7214663471372545e-05,0.0,2.0015946037009483e-05,1.7557847400885513e-07,1.7557847400885513e-06,1.9313632140974063e-06,6.145246590309929e-06,1.2290493180619858e-06,3.5115694801771026e-07,5.267354220265654e-07,1.7557847400885513e-07,1.5802062660796963e-06,7.023138960354205e-07,3.072623295154965e-05,1.7557847400885513e-07,1.7557847400885513e-07,0.0,0.0,1.9313632140974063e-06,2.4580986361239717e-06,0.0,8.778923700442756e-07,4.4948089346266914e-05,9.832394544495887e-06,4.038304902203668e-06,0.0,5.267354220265654e-07,0.0,0.0,1.7557847400885513e-07,0.0,7.023138960354205e-07,0.0,1.738226892687666e-05,1.7557847400885513e-06,0.0,0.0,3.5115694801771026e-07,5.267354220265654e-07,0.0,1.7557847400885513e-07,0.0,1.7557847400885513e-07,2.809255584141682e-06,0.0
is,0.0,5.618511168283364e-05,7.023138960354205e-07,1.7557847400885513e-07,2.2825201621151167e-06,4.038304902203668e-06,8.778923700442756e-07,0.0003439582305833472,7.023138960354205e-07,1.2290493180619858e-06,2.984834058150537e-06,4.389461850221378e-06,2.633677110132827e-06,1.7557847400885513e-07,0.0,3.5115694801771025e-06,0.0008482196079367791,0.0,0.002476358797420893,3.5115694801771026e-07,2.633677110132827e-06,0.0,0.0,2.1069416881062617e-06,8.778923700442756e-07,0.0,1.7557847400885513e-06,1.667995503084124e-05,6.84756048634535e-06,1.0534708440531308e-06,1.1588179284584438e-05,6.671982012336495e-06,0.00010324014271720682,0.0,1.2290493180619858e-06,0.0,0.0,0.0,5.442932694274509e-06,1.7557847400885513e-07,0.0,0.0,3.5115694801771026e-07,0.0,0.00022087772030313975,1.0534708440531308e-06,1.7557847400885513e-07,0.0,3.7047058015868435e-05,1.7557847400885513e-07
