,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,1.582059445883679e-06,0.08428079613655366,0.22960435763464132,4.4072801487626566e-05,0.1256377237933756,0.287310087760687,0.15560544995607126,0.12032404226077993,0.1578492085770427,0.043984091763364985,0.31076090791485356,0.1626081397136776,0.023504026954053493,0.3185257864720672,0.20483348451470781,0.010808235557880576,0.0012558024802098984,0.04260358717840836,0.01023061710708669,0.35295125136483335,0.0010632207409830702,0.0,0.0,0.022948671277757553,0.021741017938076302,0.0,0.013640659024610707,0.07010802071373338,0.04519113708302898,0.001600827504679342,3.321707357581797e-05,0.41997797778628876,0.0003862961442816099,0.004190506890160367,0.006208972201815295,0.00017956545160711078,0.0016131008290113122,0.00037631036645461875,0.009147255823253025,0.004113247863247863,0.0,0.0,0.018670450105895176,0.015657242538345353,0.011132519803040034,0.00039488049058093884,0.47045641505687463,0.014068152382653744,0.0048260430834028,0.01295726719455533
and,6.328237783534716e-06,0.0,3.752440962846331e-05,2.8816831741909677e-05,0.0003965122031350898,0.0019374587147305842,0.00060431106214642,0.00016105480158048446,0.0006416168745238,0.00038800577158585236,0.001991453996628641,0.0,0.000853852721944015,0.0006500275955111302,0.0005053777374627446,9.341603766534638e-06,0.0011548897809073172,0.0005454007136957911,0.003472492564505832,8.563660108330301e-05,0.009748916332706305,0.00012697337791509714,0.0,0.00036403349108117945,0.000989806727212739,0.0,0.0002054316118164263,0.0,2.4348672997321647e-05,0.004900994975864447,0.002856668327520345,0.0010053619302949062,0.0003380091262464086,0.0035458135224433877,0.0008768395857525417,2.9927575267851797e-05,0.0013272348593131049,0.0,0.008097570728781365,0.0036324786324786326,0.0,5.595344673231871e-05,0.0,0.00021273427361882274,0.0,0.0011614132075909967,0.00014183190083113495,0.0005805904157920593,0.004518931250822622,0.0005235259472547608
of,0.0,0.0005370856926917663,1.5009763851385326e-06,0.0,0.0,5.897895630838917e-06,0.0,0.0023460316096890568,0.0,0.0005456331162926049,7.84037006546709e-06,0.022481730559129866,0.0004961576627512519,0.0,0.0,9.341603766534638e-06,0.0,0.00020257740794415096,0.0004515797505411171,0.0,3.271448433794062e-05,0.0,0.0,2.9122679286494357e-05,0.0002952055151336239,0.0,0.0001848884506347837,0.0013121822058720155,0.00024348672997321648,0.004039010934883263,0.0,0.0,0.0023177768656896594,8.058667096462245e-05,0.0036969452804701754,0.0,0.0002858659696982072,0.0,0.0013495951214635609,0.002377136752136752,0.0,0.0,0.002097341311455185,4.2546854723764546e-05,0.00403706762088265,0.0,0.0,0.0004466080121477379,0.3349712631070943,6.54407434068451e-05
a,7.119267506476555e-06,0.02953227423803757,0.029308064896214986,2.7121723992385578e-05,0.02998387517040584,0.07525419930168917,0.07253592164409797,0.00894927847448892,0.12929725766073363,0.21900500769948955,0.060472774314947665,0.27355200012948444,0.04761959707382364,0.04429999386766419,0.08775430866917196,0.020233913758314025,0.000953064382302155,0.20087887429292692,0.034693782213986515,0.10942216703419042,9.814345301382187e-05,0.0,0.0,0.05294503094284674,0.14669977599110912,2.2431080505147934e-05,0.02633633263486585,0.0477071959134897,0.08519600681762844,0.0002709092700226579,3.321707357581797e-05,0.019676369207200305,0.0,0.000725280038681602,0.00023698367182501125,2.9927575267851797e-05,0.0007555029199166905,0.002096586327390019,0.011996401079676098,0.009268162393162393,0.0,0.00013988361683079677,0.05611416116628627,0.15908268981215565,0.0012539376701226413,0.00018582611321455946,0.13005985306215073,0.056049305524541106,0.004562804369762647,0.05045481316667757
to,0.0,0.008865633359418935,7.504881925692663e-06,1.3560861996192789e-05,1.8881533482623324e-06,0.0008316032839482873,3.253982642326877e-05,0.0002308452155986944,3.4372332563774996e-05,0.009384889600232805,0.008044219687169235,0.0012462874392030236,0.0006346202663097409,1.226467161341755e-05,0.0001943760528702864,0.0031387788655556385,0.0007512389836969928,0.006342231156405341,0.016646163907877733,2.1409150270825752e-05,0.003713093972356261,0.0,0.0,0.014779759737895887,0.0027784048483164604,0.0,0.0179752660339373,0.009536752817676969,0.010275140004869735,0.006403310018717368,0.0,0.003806013021830716,0.000627731234457616,0.00040293335482311226,0.0018484726402350877,5.9855150535703594e-05,0.005758157389635317,0.0,0.06253124062781165,0.014289529914529914,0.0,0.0,0.010774576933358008,0.0012125853596272895,0.0025078753402452826,6.968479245545979e-05,0.0,0.006699120182216069,0.008335892598604835,0.013022707937962175
in,0.0,0.0017124255742056041,3.602343324332478e-05,0.0,6.042090714439464e-05,9.731527790884212e-05,0.0002789127979137323,0.0021957137948806047,0.0007733774826849375,0.0042013749954530576,0.0017562428946646283,0.0009630402939296091,0.014330879468303602,6.132335806708775e-05,0.00018141764934560063,0.0006912786787235632,0.0011324647366178547,0.009178314867623456,0.005123094411311295,4.2818300541651505e-05,0.0005888607180829312,1.410815310167746e-05,0.0,0.0013542045868219876,0.006511886363241704,0.0,0.005176876617773943,0.01314525388382501,0.004212320428536645,0.0023150428529208943,3.321707357581797e-05,0.00023937188816545383,0.0013037494869504334,0.00040293335482311226,0.00016588857027750788,2.9927575267851797e-05,0.00030628496753379346,7.1678165038975e-05,0.006598020593821853,0.0027243589743589742,0.0,2.7976723366159355e-05,0.006024715728003619,0.013551173229519008,0.0018656145823775882,9.291305660727973e-05,0.0,0.007503014604081997,0.007370683981924276,0.0560172763562594
for,4.746178337651037e-06,0.0021066851547134106,1.3508787466246793e-05,3.390215499048197e-06,4.1539373661771314e-05,0.0007401859016702841,1.8594186527582153e-05,0.00041874248410925957,6.30159430335875e-05,0.0015459604961623806,0.0005723470147790976,0.0008902053137164454,0.0003230794083031408,2.45293432268351e-05,0.00010366722819748608,0.0002989313205291084,0.00029152557576301214,0.0006388979789007838,0.0037216400130802413,0.0,3.271448433794062e-05,1.410815310167746e-05,0.0,0.0008008736803785948,0.0012155521211384514,0.0,0.00273224043715847,0.02821191742624833,0.0017044071098125152,0.0009112402718943946,0.0,0.00031118345461509,0.0001448610541056037,8.058667096462245e-05,0.0,0.0,6.125699350675868e-05,0.0,0.0045986204138758376,0.0032585470085470087,0.0,0.0,0.012255053153208727,8.509370944752909e-05,0.00036700614735296817,6.968479245545979e-05,2.836638016622699e-05,0.0002679648072886427,0.005484139867503181,0.0005889666906616059
that,0.0,0.005588071639197436,0.0006934510899340021,0.0,0.0003568609828215808,0.0007195432669623478,0.00047880030308524043,5.3684933860161485e-06,0.00029789354888605,0.005892837655960133,0.001403426241718609,0.0005826798417053097,0.0,0.0010179677439136566,0.0001295840352468576,4.670801883267319e-05,5.6062610723656176e-05,0.0016050363860190423,0.0004048646039334154,0.0008991843113746816,0.0001308579373517625,0.0,0.0,0.000247542773935202,0.00039939569694549115,0.0,0.0004108632236328526,0.0028352508376877474,0.0017531044558071586,0.00017239680819623683,0.0,0.00035905783224818077,7.243052705280186e-05,0.0,2.3698367182501126e-05,0.0,0.0,0.0,0.0022993102069379188,0.00018696581196581195,0.0,0.0,0.00016449735776119097,0.0001489139915331759,3.058384561274735e-05,0.0004181087547327588,0.0004538620826596318,0.0,0.049795989996928886,0.03821739414959754
with,0.0,0.0009060531491669964,1.5009763851385326e-06,3.390215499048197e-06,9.440766741311661e-06,0.0008080117014249317,4.183691968705984e-05,0.0018145507644734581,4.58297767517e-05,0.00013337698398263674,0.0005096240542553608,0.0006393292707599927,0.0013846260355848891,4.90586864536702e-05,3.887521057405728e-05,6.539122636574246e-05,0.0004372883636445182,0.0003272404282174746,0.007817001199022096,2.1409150270825752e-05,0.0002780731168724953,0.0,0.0,0.0007135056425191117,0.0008682515150988939,0.0,0.0008628127696289905,0.013684185861236731,0.0013391770148526907,0.0009851246182642104,0.0,2.3937188816545384e-05,0.0001448610541056037,0.0,4.739673436500225e-05,0.0,0.0001429329848491036,0.0,0.015545336399080276,0.003125,0.0,0.0,0.0014187897106902722,0.001084944795455996,3.058384561274735e-05,9.291305660727973e-05,5.673276033245398e-05,0.00022330400607386896,0.007677795814504454,0.0032065964269354097
is,3.480530780944094e-05,0.002277778934933779,2.251464577707799e-05,5.085323248572296e-06,2.2657840179147988e-05,2.3591582523355668e-05,5.578255958274646e-05,0.030353461604535305,4.58297767517e-05,4.24381312672026e-05,0.00011760555098200635,0.0002832471452734144,1.1538550296540743e-05,0.00013491138774759305,0.00014254243877154335,0.0,0.02722400376740744,0.0,0.1869851601550943,4.2818300541651505e-05,0.00021264414819661406,1.410815310167746e-05,0.0,5.8245358572988713e-05,6.946012120791151e-05,0.0,0.0001848884506347837,0.00480352414649577,0.002605308010713416,0.0002955373854792631,0.041322039528317554,0.00019149751053236308,0.03174871435814481,8.058667096462245e-05,7.109510154750338e-05,0.0,0.00018377098052027607,0.0,0.0005998200539838049,0.00021367521367521368,0.0,0.0,2.056216972014887e-05,2.1273427361882273e-05,0.08600177386304554,0.00032519569812547905,2.836638016622699e-05,0.0,0.010573421664546133,0.0003272037170342255
