,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,0.0012,1.2756,3.1562,0.001,1.311,2.1164,0.7878,0.397,0.6946,0.1238,0.8428,0.5894,0.0472,0.579,0.3082,0.0266,0.0046,0.0394,0.0306,0.3788,0.0022,0.0,0.0,0.0168,0.0162,0.0,0.0076,0.192,0.0468,0.0102,0.0018,0.3402,0.004,0.0054,0.017,0.0022,0.0054,0.0,0.01,0.006,0.0,0.0038,0.001,0.004,0.0048,0.0014,0.4592,0.0052,0.054,0.0022
and,0.0002,0.0,0.0022,0.0002,0.0032,0.0112,0.0036,0.0002,0.003,0.0008,0.0136,0.0008,0.0002,0.0018,0.0008,0.0,0.0004,0.0002,0.0022,0.0,0.0016,0.0002,0.0,0.0,0.0002,0.0,0.0004,0.0,0.0002,0.001,0.0002,0.001,0.001,0.0008,0.0018,0.0,0.0012,0.0,0.002,0.0014,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0006,0.0
of,0.0012,0.0072,0.013,0.0,0.0112,0.0164,0.0028,0.008,0.0018,0.015,0.0012,0.099,0.0002,0.003,0.0026,0.0012,0.0006,0.0088,0.0046,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0054,0.0004,0.0026,0.0,0.0,0.0008,0.0,0.0018,0.0,0.0006,0.0,0.0004,0.002,0.0,0.0,0.0,0.0004,0.0008,0.0,0.0028,0.0,0.0722,0.0006
a,0.0,0.3916,0.4564,0.001,0.4202,0.6386,0.3992,0.0526,0.4856,0.4376,0.1448,1.052,0.042,0.0888,0.1148,0.0654,0.01,0.0968,0.1778,0.1228,0.0,0.0,0.0,0.027,0.033,0.0002,0.009,0.1482,0.0736,0.0014,0.007,0.0144,0.0038,0.0022,0.0066,0.0032,0.0218,0.0,0.0144,0.0142,0.0,0.008,0.0016,0.025,0.0074,0.0,0.169,0.0104,0.0014,0.0088
to,0.0002,0.0654,0.0002,0.0002,0.0006,0.0108,0.002,0.0018,0.0006,0.0398,0.007,0.0018,0.0018,0.0002,0.0004,0.0114,0.0012,0.0096,0.0192,0.0,0.002,0.0,0.0,0.0126,0.0018,0.0,0.0152,0.0616,0.0174,0.0018,0.0008,0.0,0.0002,0.0018,0.0052,0.0052,0.0,0.0,0.0406,0.016,0.0,0.0008,0.0002,0.001,0.0036,0.0002,0.0,0.002,0.002,0.0006
in,0.0002,0.019,0.0006,0.0,0.0036,0.0,0.0018,0.0162,0.0012,0.01,0.0044,0.002,0.0162,0.0002,0.0006,0.0018,0.0016,0.0028,0.009,0.0002,0.0002,0.0,0.0,0.0006,0.0024,0.0,0.0052,0.0316,0.0044,0.002,0.0006,0.0004,0.0022,0.0016,0.0004,0.0002,0.0004,0.0,0.0038,0.0024,0.0,0.001,0.0,0.0016,0.0012,0.0,0.0,0.0016,0.0018,0.0016
for,0.0,0.0122,0.0002,0.0002,0.0014,0.0028,0.0006,0.0034,0.0008,0.0062,0.0008,0.001,0.0028,0.0,0.0006,0.0002,0.0002,0.0006,0.0044,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.001,0.066,0.001,0.0006,0.0,0.0006,0.0,0.0,0.0002,0.0,0.0004,0.0,0.0024,0.0018,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0
that,0.0002,0.0218,0.0122,0.0,0.0062,0.0058,0.003,0.0,0.002,0.0172,0.0062,0.0046,0.0,0.0042,0.0,0.0004,0.0004,0.003,0.001,0.0014,0.0,0.0002,0.0,0.0002,0.0,0.0,0.0006,0.0028,0.001,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0006,0.0002,0.0,0.0,0.0,0.0,0.0,0.0004,0.0008,0.0,0.0136,0.0002
with,0.0,0.0082,0.0002,0.0,0.0002,0.0072,0.0004,0.0036,0.0002,0.0004,0.0018,0.0024,0.0026,0.0,0.0,0.0002,0.0014,0.0002,0.0106,0.0,0.0,0.0,0.0,0.0016,0.0008,0.0,0.0002,0.0148,0.0012,0.0014,0.0002,0.0002,0.0,0.0,0.0,0.0004,0.0002,0.0,0.0036,0.0034,0.0,0.0002,0.0,0.0004,0.0,0.0,0.0,0.0002,0.0006,0.0006
is,0.0,0.0276,0.001,0.0004,0.0004,0.0006,0.0004,0.0782,0.0002,0.0,0.0006,0.013,0.0,0.0,0.0,0.0,0.0218,0.0002,0.2646,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0124,0.0024,0.0004,0.0156,0.0002,0.0124,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.027,0.0002,0.0002,0.0,0.0062,0.0
