,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,5.969336920787777e-06,0.0012735755889233687,0.004615526420899702,1.2289811307504248e-06,0.0018420671462619222,0.0036958973976324557,0.0013834816157590494,0.0005978115357435994,0.0006894584143509883,0.000587979686697596,0.0013369559015234977,0.0004894856275045978,0.00013150098099029545,0.0009484222954733992,0.0006481997621043668,5.7059838213412576e-05,5.3372894821161304e-05,0.000197163687118961,0.00014150839876926318,0.0009628189315764756,2.4579622615008495e-06,3.5113746592869277e-07,1.7556873296434638e-07,5.4777444684876074e-05,0.0001313254122573311,0.0,6.408258753198643e-05,0.00030970324494910704,9.252472227221054e-05,0.0001457220483604075,3.985410238290663e-05,0.00040872401034099836,3.63427277236197e-05,1.5274479767898135e-05,6.794509965720205e-05,1.5098911034933789e-05,1.1236398909718169e-05,0.0,4.1083083513657056e-05,2.615974121168761e-05,0.0,1.896142316014941e-05,1.457220483604075e-05,1.8610285694220715e-05,4.0205239848835324e-05,9.480711580074706e-06,0.0002770474606177386,3.40603341950832e-05,0.00014659989202522923,0.00010481453357971478
and,3.5113746592869277e-07,6.847180585609509e-06,1.6152323432719867e-05,2.4579622615008495e-06,3.722057138844143e-05,4.6350145502587445e-05,2.773985980836673e-05,2.2999504018329376e-05,1.457220483604075e-05,1.545004850086248e-05,2.6862016143544998e-05,3.511374659286928e-06,6.847180585609509e-06,4.915924523001699e-06,6.671611852645163e-06,5.267061988930391e-07,6.496043119680816e-06,4.213649591144313e-06,5.003708889483872e-05,5.267061988930392e-06,4.213649591144313e-06,7.022749318573855e-07,0.0,1.5801185966791174e-06,1.404549863714771e-06,0.0,2.633530994465196e-06,1.93125606260781e-06,5.267061988930391e-07,2.6686447410580652e-05,2.7388722342438037e-05,1.2992086239361632e-05,5.618199454859084e-06,2.9846684603938885e-06,3.686943392251274e-06,1.2289811307504248e-06,2.4579622615008495e-06,1.7556873296434638e-07,2.001483555793549e-05,1.1236398909718169e-05,0.0,2.9846684603938885e-06,3.5113746592869277e-07,1.404549863714771e-06,1.7556873296434638e-07,1.404549863714771e-06,2.633530994465196e-06,1.404549863714771e-06,8.427299182288626e-06,9.480711580074706e-06
of,7.022749318573855e-07,8.163946082842107e-05,1.6152323432719867e-05,1.7556873296434638e-07,1.843471696125637e-05,1.6679029631612906e-05,4.389218324108659e-06,2.5457466279830224e-05,7.900592983395587e-06,4.424332070701529e-05,7.373886784502548e-06,5.302175735523261e-05,5.267061988930392e-06,5.091493255966045e-06,4.740355790037353e-06,2.9846684603938885e-06,2.9846684603938885e-06,2.7915428541331076e-05,9.831849046003398e-06,2.141938542165026e-05,7.022749318573855e-07,0.0,0.0,1.755687329643464e-06,6.3204743867164695e-06,0.0,2.809099727429542e-06,1.1411967642682515e-05,5.091493255966045e-06,2.2999504018329376e-05,5.267061988930392e-06,1.404549863714771e-06,2.633530994465196e-06,2.9846684603938885e-06,1.755687329643464e-06,1.404549863714771e-06,7.022749318573855e-07,0.0,5.969336920787777e-06,3.511374659286928e-06,0.0,0.0,7.022749318573855e-07,2.4579622615008495e-06,1.4221067370112057e-05,0.0,4.564787057073006e-06,2.1068247955721565e-06,0.00024386497008747714,1.4045498637147711e-05
a,1.755687329643464e-06,0.000713686899500068,0.0011231131847729238,3.5113746592869277e-07,0.0006543446677581189,0.0011324183276200342,0.0004541963121787641,0.00016257664672498476,0.0006002694980051003,0.0008309668131202514,0.0004743867164696639,0.0006815578213675927,0.00017381304563470292,0.000188034113004815,0.0003827398378622751,0.00013940157397369102,5.530415088376911e-05,0.00032392431231921905,0.00023719335823483195,0.00023157515877997287,5.267061988930391e-07,7.022749318573855e-07,0.0,0.00013114984352436676,0.00010253214005117828,1.7556873296434638e-07,6.882294332202378e-05,9.515825326667574e-05,9.72650780622479e-05,1.018298651193209e-05,7.286102418020374e-05,7.918149856692022e-05,2.335064148425807e-05,4.424332070701529e-05,1.6152323432719867e-05,2.1243816688685913e-05,1.545004850086248e-05,0.0,0.00010867704570493042,2.7915428541331076e-05,0.0,1.070969271082513e-05,1.896142316014941e-05,3.546488405879797e-05,2.5984172478723263e-05,7.022749318573855e-07,0.00016345449038980648,2.7564291075402383e-05,1.2816517506397285e-05,3.932739618401359e-05
to,1.5801185966791174e-06,0.00010288327751710698,7.72502425043124e-06,8.77843664821732e-07,1.6152323432719867e-05,2.2472797819436337e-05,1.9312560626078104e-05,3.40603341950832e-05,5.091493255966045e-06,0.00015239366021305267,4.406775197405094e-05,2.4404053882044147e-05,7.373886784502548e-06,2.4579622615008495e-06,2.282393528536503e-06,3.0197822069867578e-05,1.0534123977860783e-05,5.863995681009169e-05,0.00014185953623519187,1.2289811307504248e-06,1.5801185966791174e-06,0.0,1.7556873296434638e-07,0.00010990602683568084,8.954005381181665e-06,0.0,8.497526675474365e-05,5.144163875855349e-05,2.7915428541331076e-05,1.2816517506397285e-05,8.778436648217319e-06,1.316765497232598e-05,1.1060830176753822e-05,2.3175072751293722e-05,1.018298651193209e-05,2.6510878677616306e-05,5.267061988930391e-07,0.0,8.831107268106623e-05,3.985410238290663e-05,0.0,8.778436648217319e-06,2.1068247955721565e-06,5.793768187823431e-06,5.969336920787777e-06,1.0534123977860783e-06,1.5801185966791174e-06,2.9495547138010193e-05,1.1060830176753822e-05,2.036597302386418e-05
in,2.633530994465196e-06,0.00016679029631612907,1.3694361171219019e-05,5.267061988930391e-07,2.9319978405045846e-05,6.671611852645163e-06,1.4045498637147711e-05,5.6181994548590845e-05,6.3204743867164695e-06,0.000125707212802472,2.0190404290899835e-05,1.9312560626078104e-05,7.584569264059764e-05,2.633530994465196e-06,1.755687329643464e-06,7.900592983395587e-06,7.5494555174668945e-06,5.8113250611198654e-05,6.759396219127335e-05,3.1602371933582348e-06,1.404549863714771e-06,0.0,0.0,8.076161716359933e-06,1.21142425745399e-05,0.0,1.5098911034933789e-05,6.689168725941597e-05,3.0022253336903232e-05,3.423590292804754e-05,1.9839266824971143e-05,1.2992086239361632e-05,2.089267922275722e-05,1.5625617233826828e-05,2.5281897546865878e-05,1.0534123977860783e-05,1.755687329643464e-06,0.0,1.7732442029398984e-05,1.3694361171219019e-05,0.0,9.656280313039052e-06,4.038080858179967e-06,1.316765497232598e-05,3.248021559840408e-05,5.267061988930391e-07,3.5113746592869277e-07,2.0717110489792874e-05,1.843471696125637e-05,6.022007540677081e-05
for,3.5113746592869277e-07,5.407516975301869e-05,2.282393528536503e-06,7.022749318573855e-07,7.373886784502548e-06,1.3694361171219019e-05,1.404549863714771e-06,1.4221067370112057e-05,3.86251212521562e-06,3.1777940666546695e-05,9.656280313039052e-06,9.129574114146011e-06,4.564787057073006e-06,3.5113746592869277e-07,1.404549863714771e-06,1.5801185966791174e-06,4.915924523001699e-06,6.671611852645163e-06,2.5281897546865878e-05,1.2289811307504248e-06,7.022749318573855e-07,1.7556873296434638e-07,0.0,1.755687329643464e-06,2.282393528536503e-06,0.0,6.847180585609509e-06,3.335805926322581e-05,8.076161716359933e-06,2.42284851490798e-05,7.022749318573855e-07,1.755687329643464e-06,2.282393528536503e-06,1.2289811307504248e-06,8.77843664821732e-07,5.267061988930391e-07,7.022749318573855e-07,0.0,1.738130456347029e-05,5.969336920787777e-06,0.0,8.77843664821732e-07,1.404549863714771e-06,1.0534123977860783e-06,2.282393528536503e-06,1.7556873296434638e-07,1.7556873296434638e-07,2.282393528536503e-06,7.72502425043124e-06,5.267061988930391e-07
that,3.3358059263225815e-06,0.00018627842567517152,0.00010604351471046522,1.7556873296434638e-07,4.055637731476402e-05,9.217358480628185e-05,3.072452826876062e-05,1.4221067370112057e-05,2.475519134797284e-05,0.000134310080717725,3.792284632029882e-05,6.144905653752123e-06,2.615974121168761e-05,3.63427277236197e-05,5.969336920787777e-06,8.25173044932428e-06,1.5801185966791174e-06,3.6518296456584045e-05,2.0190404290899835e-05,4.143422097958575e-05,0.0,1.7556873296434638e-07,0.0,7.198318051538202e-06,5.267061988930392e-06,0.0,1.545004850086248e-05,5.126607002558914e-05,1.0358555244896437e-05,5.618199454859084e-06,8.25173044932428e-06,2.4404053882044147e-05,3.1602371933582348e-06,3.511374659286928e-06,1.2289811307504248e-06,1.2289811307504248e-06,3.5113746592869277e-07,0.0,1.6327892165684213e-05,8.076161716359933e-06,0.0,1.755687329643464e-06,1.755687329643464e-06,8.77843664821732e-07,8.77843664821732e-07,1.7556873296434638e-07,9.305142847110358e-06,1.5801185966791174e-06,1.6679029631612906e-05,9.340256593703227e-05
with,7.022749318573855e-07,3.757170885437013e-05,8.77843664821732e-07,5.267061988930391e-07,5.793768187823431e-06,1.5625617233826828e-05,2.1068247955721565e-06,1.1938673841575554e-05,1.0534123977860783e-06,4.564787057073006e-06,9.129574114146011e-06,7.72502425043124e-06,1.93125606260781e-06,1.7556873296434638e-07,5.267061988930391e-07,1.2289811307504248e-06,5.442630721894738e-06,3.1602371933582348e-06,2.6686447410580652e-05,1.404549863714771e-06,5.267061988930391e-07,1.7556873296434638e-07,0.0,1.755687329643464e-06,3.1602371933582348e-06,0.0,2.9846684603938885e-06,2.1068247955721567e-05,3.86251212521562e-06,3.86251212521562e-06,3.511374659286928e-06,2.633530994465196e-06,3.1602371933582348e-06,2.4579622615008495e-06,8.77843664821732e-07,1.5801185966791174e-06,1.7556873296434638e-07,0.0,5.091493255966045e-06,9.656280313039052e-06,0.0,3.5113746592869277e-07,1.7556873296434638e-07,3.5113746592869277e-07,1.7556873296434638e-07,7.022749318573855e-07,3.5113746592869277e-07,7.022749318573855e-07,5.091493255966045e-06,2.9846684603938885e-06
is,5.267061988930391e-07,0.00017469088929952464,4.178535844551444e-05,3.5113746592869277e-07,4.915924523001699e-06,2.42284851490798e-05,4.389218324108659e-06,0.00019488129359042448,3.686943392251274e-06,6.3204743867164695e-06,4.915924523001699e-06,5.881552554305604e-05,5.267061988930391e-07,7.022749318573855e-07,3.5113746592869277e-07,2.282393528536503e-06,0.00017240849577098815,7.022749318573855e-07,0.00026475764931023434,1.2289811307504248e-06,1.7556873296434638e-07,8.77843664821732e-07,0.0,8.77843664821732e-07,2.1068247955721565e-06,0.0,8.77843664821732e-07,4.793026409926656e-05,1.2640948773432939e-05,1.5801185966791174e-06,0.00011095943923346692,7.5494555174668945e-06,0.00011833332601796946,1.755687329643464e-06,3.5113746592869277e-07,5.267061988930391e-07,1.7556873296434638e-07,0.0,9.656280313039052e-06,1.5801185966791174e-06,0.0,0.0,1.7556873296434638e-07,1.7556873296434638e-07,0.0001264094877343294,1.7556873296434638e-07,3.5113746592869277e-07,0.0,2.3526210217222415e-05,5.618199454859084e-06
