,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,7.901991233002981e-05,0.0012380072880606846,0.0035197824931771167,4.041279520687052e-06,0.001920467619032879,0.003196910054875417,0.0015605357876797726,0.0012260554188399293,0.0008477228679670989,0.0008431656804224944,0.0016168557469574325,0.0003313849206963383,0.0002580399966294009,0.00047850469218347757,0.000405331737457846,9.34653369997197e-05,0.00010352554346611087,8.564073197030434e-05,0.0003294072732713212,0.0004528812603289086,4.471202873951632e-06,8.5984670652916e-08,4.213248861992884e-06,0.0003360280929115957,0.0002895103860883682,4.729156885910381e-06,0.0002153915999855546,0.0003785905048847892,0.00023233058010417904,7.437674011477235e-05,9.372329101167844e-06,0.00047429144332148467,5.8899499397247466e-05,2.639729389044521e-05,6.199494754075243e-05,6.001730011573537e-05,2.7257140596974374e-05,3.1728343470926e-05,0.00019965640525607096,7.0507429935391124e-06,1.031816047834992e-06,9.406722969429011e-05,9.088579688013222e-05,1.4789363352301553e-05,3.989688718295302e-05,1.9690489579517764e-05,0.0001864147659755219,2.1410182992576085e-05,0.00016139322681552333,2.4247677124122313e-05
and,3.783325508728304e-06,1.788481149580653e-05,4.56578601166984e-05,5.503018921786624e-06,0.00010894257771724458,8.013771304851771e-05,6.749796646253906e-05,4.7463538200409636e-05,4.978512430803837e-05,3.1556374129620175e-05,7.919188167133564e-05,1.1521945867490745e-05,1.3929516645772393e-05,1.745488814254195e-05,1.0146191137044088e-05,6.276880957662868e-06,3.43938682611664e-05,6.534834969621616e-06,0.00016259701220466417,1.848670419037694e-05,2.1582152333881916e-05,3.43938682611664e-07,2.407570778281648e-06,1.4617394010995721e-05,8.5984670652916e-06,5.15908023917496e-07,5.674988263092456e-06,2.493555448934564e-06,1.2123838562061156e-05,0.00010954447041181499,2.063632095669984e-06,5.597602059504832e-05,5.417034251133708e-06,6.706804310927448e-06,5.8469576043982885e-06,6.362865628315784e-06,1.2983685268590317e-05,1.031816047834992e-06,0.00010361152813676378,5.15908023917496e-06,5.15908023917496e-07,1.805678083711236e-05,2.407570778281648e-06,1.203785389140824e-06,6.87877365223328e-07,1.5477240717524882e-06,9.114375089209097e-06,1.8056780837112361e-06,1.9604504908864847e-05,5.58900359243954e-06
of,3.912302514707678e-05,3.2760159518761e-05,1.4789363352301553e-05,1.117800718487908e-06,3.121243544700851e-05,1.117800718487908e-05,5.9329422750512045e-06,2.3989723112163565e-05,7.1367276641920285e-06,8.624262466487475e-05,8.5984670652916e-06,3.9294994488382615e-05,2.0894274968658587e-05,3.353402155463724e-06,2.57954011958748e-06,4.2992335326458e-06,1.2725731256631568e-05,7.2227123348449445e-06,1.4875348022954469e-05,1.375754730446656e-06,5.15908023917496e-07,0.0,5.15908023917496e-07,8.340513053332852e-06,2.0980259639311504e-05,3.43938682611664e-07,5.7609729337453724e-06,1.375754730446656e-05,6.276880957662868e-06,4.56578601166984e-05,1.28977005979374e-06,2.57954011958748e-06,6.87877365223328e-07,2.063632095669984e-06,3.955294850034136e-06,1.8056780837112361e-06,3.0954481435049764e-06,2.3215861076287323e-06,1.0490129819655752e-05,3.43938682611664e-07,4.2992335326458e-07,3.353402155463724e-06,2.493555448934564e-06,2.837494131546228e-06,7.394681676150777e-06,3.43938682611664e-07,1.203785389140824e-06,6.87877365223328e-07,0.00022278628166170537,4.2992335326458e-07
a,9.114375089209097e-06,0.00048417968044657,0.0007055902073778287,6.706804310927448e-06,0.0008729163764684033,0.0010668977934613817,0.000710405348934392,0.00038555526320767537,0.0004201211008101476,0.0014102345833784753,0.00047678499877041924,0.0004744634126627905,0.00024436843399558726,0.00016560647567751623,0.00016285496621662292,0.00025640628788699553,0.00018340530250266984,0.0001343080555598548,0.00048280392571612335,0.00018899430609510938,1.8056780837112361e-06,1.71969341305832e-07,1.590716407078946e-05,0.0006138445637911674,0.0006200354600781773,1.1693915208796577e-05,0.00014901143424150343,0.0001520208977143555,0.0002407570778281648,3.1470389458967255e-05,1.3929516645772393e-05,8.555474729965143e-05,3.568363832096014e-05,5.055898634391461e-05,8.589868598226308e-05,4.4798013410169236e-05,0.00010816871568136833,9.217556693992596e-05,0.00027953616429262994,7.0507429935391124e-06,5.15908023917496e-07,0.0001321584387935319,4.892527760150921e-05,2.4419646465428147e-05,4.935520095477379e-05,2.9234788021991442e-06,0.00017059358657538535,1.4875348022954469e-05,1.9862458920823598e-05,1.1006037843573249e-05
to,5.7609729337453724e-06,0.00026715437171861,1.736890347188903e-05,2.768706395023895e-05,8.16854371202702e-05,5.141883305044377e-05,8.916610346707389e-05,0.00011573536669882494,1.2295807903366989e-05,0.0002191749254942829,7.695628023435982e-05,8.4952854605081e-05,3.619954634487764e-05,8.426497723985768e-06,1.8056780837112361e-06,0.0001107482558009558,4.797944622432713e-05,5.4772235205907495e-05,0.00026509073962294004,2.1496167663229e-06,5.073095568522044e-06,8.5984670652916e-08,3.0954481435049764e-06,0.000819949819346207,5.2536633768931676e-05,6.01892694570412e-07,0.00021315599854857879,7.807408095284774e-05,8.882216478446224e-05,2.9234788021991442e-05,7.910589700068272e-06,1.8916627543641522e-05,3.2588190177455164e-05,4.901126227216212e-05,5.296655712219626e-05,7.824605029415356e-05,3.6973408380753883e-06,6.276880957662868e-06,0.0004776448454769484,1.3843531975119476e-05,2.57954011958748e-07,0.00018177159376026443,1.7970796166459443e-05,7.308697005497861e-06,8.5984670652916e-06,2.1496167663229e-06,3.0094634728520603e-06,0.00011934672286624742,3.7747270416630124e-05,8.426497723985768e-06
in,4.815141556563296e-06,0.00013576979496095437,2.1840106345840667e-05,1.891662754364152e-06,0.0001231300483749757,1.3241639280549064e-05,2.5021539159998558e-05,0.00012527966514129862,2.2871922393675656e-05,0.00011917475352494158,6.491842634295159e-05,4.952717029607962e-05,6.0361238798347036e-05,5.073095568522044e-06,4.127264191339968e-06,1.2295807903366989e-05,3.129842011766143e-05,3.9982871853605944e-05,0.0001514190050197851,5.417034251133708e-06,2.063632095669984e-06,0.0,5.417034251133708e-06,2.966471137525602e-05,9.793653987367133e-05,2.235601436975816e-06,3.1986297482884756e-05,0.0001101463631063854,6.208093221140536e-05,3.164235880027309e-05,4.729156885910381e-06,1.9604504908864847e-05,5.6921851972230394e-05,3.104046610570268e-05,1.2639746585978653e-05,2.0292382274088176e-05,5.245064909827876e-06,3.86931017938122e-06,0.00012708534322500986,2.9234788021991442e-06,5.15908023917496e-07,6.414456430707534e-05,3.241622083614933e-05,1.2037853891408241e-05,2.0550336286046927e-05,2.063632095669984e-06,1.28977005979374e-06,1.1521945867490745e-05,1.9862458920823598e-05,1.117800718487908e-05
for,1.375754730446656e-06,8.572671664095726e-05,8.856421077250348e-06,1.117800718487908e-06,2.57954011958748e-05,1.6852995447971537e-05,1.0748083831614501e-05,3.086849676439685e-05,1.0232175807697005e-05,4.8065430894980044e-05,2.2699953052369825e-05,1.1349976526184913e-05,1.6337087424054042e-05,3.181432814157892e-06,1.117800718487908e-06,2.235601436975816e-06,1.977647425017068e-05,4.729156885910381e-06,0.00010283766610088755,4.987110897869128e-06,1.633708742405404e-06,8.5984670652916e-08,1.375754730446656e-06,6.4488502989687e-06,2.1840106345840667e-05,0.0,5.0301032331955864e-05,9.647480047257176e-05,1.93465508969061e-05,1.0834068502267416e-05,2.57954011958748e-07,1.0490129819655752e-05,1.891662754364152e-06,5.245064909827876e-06,2.3215861076287323e-06,2.3215861076287323e-06,2.57954011958748e-06,3.86931017938122e-06,8.718845604205683e-05,2.3215861076287323e-06,1.71969341305832e-07,5.674988263092456e-06,5.417034251133708e-06,5.15908023917496e-07,1.891662754364152e-06,4.2992335326458e-07,1.203785389140824e-06,9.45831377182076e-07,1.6423072094706956e-05,6.01892694570412e-07
that,9.88823712508534e-06,0.00036982006847819174,0.00014299250729579932,9.45831377182076e-07,0.00012106641627930573,0.00013069669939243234,0.00010670697628026876,3.430788359051349e-05,9.24335209518847e-05,0.0005619098227168061,6.397259496576951e-05,1.2295807903366989e-05,2.691320191436271e-05,2.562343185456897e-05,1.50473173642603e-05,7.824605029415357e-06,1.1006037843573249e-05,1.9690489579517764e-05,6.448850298968701e-05,3.0438573411132266e-05,4.213248861992884e-06,0.0,1.203785389140824e-06,3.1126450776355594e-05,5.04730016732617e-05,4.2992335326458e-07,2.4849569818692724e-05,8.43509619105106e-05,3.241622083614933e-05,1.2037853891408241e-05,7.73862035876244e-06,4.574384478735131e-05,2.493555448934564e-06,6.190896287009953e-06,3.6973408380753883e-06,3.6113561674224723e-06,2.9234788021991442e-06,4.471202873951632e-06,6.904569053429155e-05,5.503018921786624e-06,8.5984670652916e-08,1.3155654609896149e-05,1.3241639280549064e-05,1.8056780837112361e-06,4.385218203298716e-06,5.15908023917496e-07,6.87877365223328e-06,2.063632095669984e-06,3.104046610570268e-05,5.21067104156671e-05
with,2.751509460893312e-06,5.5804051253742485e-05,5.9329422750512045e-06,4.2992335326458e-07,2.106624430996442e-05,1.4617394010995721e-05,2.837494131546228e-06,2.8288956644809367e-05,4.2992335326458e-06,9.802252454432424e-06,2.3387830417593154e-05,5.15908023917496e-06,2.751509460893312e-06,1.891662754364152e-06,1.5477240717524882e-06,2.407570778281648e-06,5.58900359243954e-06,8.5984670652916e-07,3.834916311120054e-05,1.8056780837112361e-06,6.01892694570412e-07,0.0,4.2992335326458e-07,5.9329422750512045e-06,7.652635688109525e-06,5.15908023917496e-07,2.235601436975816e-06,5.657791328961873e-05,1.0232175807697005e-05,1.1263991855531996e-05,1.117800718487908e-06,6.104911616357037e-06,8.5984670652916e-07,2.235601436975816e-06,9.45831377182076e-07,1.203785389140824e-06,1.4617394010995721e-06,1.71969341305832e-07,4.625975281126881e-05,1.891662754364152e-06,8.5984670652916e-08,5.8469576043982885e-06,8.512482394638684e-06,6.87877365223328e-07,2.57954011958748e-07,2.57954011958748e-07,2.57954011958748e-07,6.87877365223328e-07,6.87877365223328e-06,1.031816047834992e-06
is,5.417034251133708e-06,0.00028400736716658156,5.597602059504832e-05,1.203785389140824e-06,4.0412795206870525e-05,2.252798371106399e-05,4.170256526666426e-05,0.0008828046135934886,2.5967370537180634e-05,3.860711712315929e-05,2.3301845746940237e-05,4.127264191339968e-05,3.6973408380753883e-06,7.910589700068272e-06,8.856421077250348e-06,5.331049580480792e-06,0.0006752376186373493,3.0954481435049764e-06,0.0014619973551115307,6.276880957662868e-06,2.493555448934564e-06,3.43938682611664e-07,2.4591615806733977e-05,7.910589700068272e-06,5.245064909827876e-06,7.738620358762441e-07,4.127264191339968e-06,0.00016276898154597,3.0266604069826432e-05,9.372329101167844e-06,5.0644971014567524e-05,3.731734706336554e-05,0.00011616529005208952,5.417034251133708e-06,2.3215861076287323e-06,2.493555448934564e-06,1.891662754364152e-06,4.2992335326458e-06,2.4677600477386894e-05,7.738620358762441e-07,0.0,6.362865628315784e-06,1.375754730446656e-05,2.57954011958748e-07,0.00027489299207737245,1.117800718487908e-06,7.738620358762441e-07,7.738620358762441e-07,7.231310801910235e-05,4.815141556563296e-06
