,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,5.821162203202414e-05,0.0010679296095092168,0.003826661782737374,5.331049580480792e-06,0.0018151363974830568,0.0035528865913784895,0.0016703382121035463,0.0011908876885428866,0.0008928648200598798,0.0008054184100058642,0.0017358585311410683,0.00030000051590802396,0.00027644071614912495,0.0004935520095477379,0.00042949342991131545,0.00010705091496288043,3.49097762850839e-05,0.00010937250107050916,0.00011539142801621327,0.0005135864378098673,1.4617394010995721e-06,2.57954011958748e-07,1.8056780837112361e-06,0.0005455727352927521,0.00038159996835764124,3.181432814157892e-06,0.00020834085699201547,0.00024247677124122313,0.00017790228358088321,2.1840106345840667e-05,4.2992335326458e-07,0.000496475488349937,3.6715454368795135e-05,2.493555448934564e-06,2.2012075687146497e-05,2.9750696045908937e-05,8.942405747903265e-06,2.562343185456897e-05,7.730021891697149e-05,3.783325508728304e-06,1.633708742405404e-06,2.837494131546228e-06,0.00010412743616068128,5.2622618439584596e-05,2.9148803351338526e-05,5.15908023917496e-07,0.00019415338633428433,2.4247677124122313e-05,2.3559799758898984e-05,1.8830642872988605e-05
and,1.4617394010995721e-06,1.1865884550102409e-05,1.4703378681648636e-05,4.471202873951632e-06,6.199494754075243e-05,7.721423424631857e-05,3.0266604069826432e-05,4.625975281126881e-05,2.6827217243709793e-05,3.7833255087283045e-05,6.371464095381076e-05,1.203785389140824e-06,2.5537447183916053e-05,1.0576114490308669e-05,7.566651017456608e-06,6.190896287009953e-06,5.15908023917496e-05,7.824605029415357e-06,0.00023482413555311362,1.1865884550102409e-05,3.585560766226597e-05,3.43938682611664e-07,2.57954011958748e-06,3.2760159518761e-05,1.865867353168277e-05,8.5984670652916e-08,1.590716407078946e-05,1.71969341305832e-07,2.1496167663229e-06,0.00012407587975215778,1.977647425017068e-06,2.8718879998073944e-05,2.407570778281648e-06,4.127264191339968e-06,5.073095568522044e-06,5.15908023917496e-07,2.2012075687146497e-05,5.15908023917496e-07,0.00016844396980906246,1.3413608621854896e-05,5.15908023917496e-07,1.8056780837112361e-06,2.3215861076287323e-06,2.493555448934564e-06,1.71969341305832e-07,2.063632095669984e-06,3.5253714967695562e-06,1.5477240717524882e-06,2.519350850130439e-05,9.114375089209097e-06
of,2.9234788021991442e-06,1.2983685268590317e-05,6.87877365223328e-06,7.738620358762441e-07,1.891662754364152e-06,1.031816047834992e-06,6.87877365223328e-07,2.6139339878486464e-05,3.43938682611664e-07,6.018926945704121e-06,4.6431722152574645e-06,2.4849569818692724e-05,5.073095568522044e-06,1.031816047834992e-06,1.71969341305832e-07,5.15908023917496e-07,1.203785389140824e-06,2.063632095669984e-06,1.977647425017068e-06,8.5984670652916e-08,4.2992335326458e-07,8.5984670652916e-08,3.43938682611664e-07,2.57954011958748e-06,1.4101485987078225e-05,2.57954011958748e-07,4.6431722152574645e-06,6.018926945704121e-06,1.71969341305832e-06,8.030968238982354e-05,2.57954011958748e-07,1.117800718487908e-06,2.57954011958748e-07,1.71969341305832e-07,4.0326810536217604e-05,8.5984670652916e-08,3.43938682611664e-07,2.57954011958748e-07,4.901126227216212e-06,3.43938682611664e-07,5.15908023917496e-07,3.43938682611664e-07,5.15908023917496e-07,6.01892694570412e-07,2.407570778281648e-06,1.71969341305832e-07,1.71969341305832e-07,7.738620358762441e-07,0.00047583916739323717,2.57954011958748e-07
a,6.534834969621616e-06,0.00028770470800465697,0.0007309556852204389,9.286344430514929e-06,0.00053843600762856,0.001234567901234568,0.0007724862811457974,0.00017687046753304822,0.00043972560571901246,0.0017686186906598293,0.0005191754414023068,0.00054462690391557,0.0002687020957903625,0.00017377501938954326,0.00016904586250363285,0.00026999186585015625,2.1582152333881916e-05,0.0002496134989054152,9.88823712508534e-05,0.0002116082744768263,9.45831377182076e-07,8.5984670652916e-08,1.977647425017068e-06,0.0012497012032694813,0.0010212399333446834,1.9604504908864847e-05,0.00022803134657153323,5.649192861896581e-05,0.000196560957112566,4.127264191339968e-06,2.57954011958748e-07,8.684451735944516e-05,6.87877365223328e-07,1.28977005979374e-06,2.57954011958748e-06,5.15908023917496e-07,1.2037853891408241e-05,0.0001026656967595817,9.750661652040675e-05,4.987110897869128e-06,4.2992335326458e-07,1.5477240717524882e-06,7.162523065387903e-05,8.091157508439396e-05,7.73862035876244e-06,3.43938682611664e-07,0.0001803958390298178,2.2957907064328573e-05,4.5571875446045485e-06,5.58900359243954e-06
to,3.86931017938122e-06,0.00017050760190473243,4.127264191339968e-06,3.129842011766143e-05,1.9260566226253183e-05,4.969913963738545e-05,8.426497723985768e-06,3.5167730297042644e-05,4.729156885910381e-06,0.0002556324258511193,6.784190514515073e-05,7.833203496480648e-05,4.789346155367422e-05,2.407570778281648e-06,1.117800718487908e-06,0.00014918340358280926,3.9982871853605944e-05,6.792788981580364e-05,0.00022613968381716908,1.633708742405404e-06,9.286344430514929e-06,0.0,3.5253714967695562e-06,0.0016108368200117285,6.07051774809587e-05,4.2992335326458e-07,0.00017429092741346074,4.78074768830213e-05,6.28547942472816e-05,3.5941592332918886e-05,3.43938682611664e-07,3.4135914249207655e-05,1.7712842154500696e-05,1.5477240717524882e-06,6.964758322886196e-06,1.71969341305832e-06,1.031816047834992e-05,6.534834969621616e-06,0.0003067933048896043,2.261396838171691e-05,3.43938682611664e-07,2.665524790240396e-06,1.5563225388177797e-05,1.3069669939243232e-05,3.0094634728520603e-06,2.1496167663229e-06,1.8056780837112361e-06,0.00020928668836919754,4.411013604494591e-05,2.3301845746940237e-05
in,3.86931017938122e-06,0.00011401567328576662,9.88823712508534e-06,3.0954481435049764e-06,1.994844359147651e-05,1.0146191137044088e-05,1.3929516645772393e-05,8.38350538865931e-05,1.1865884550102409e-05,0.00014153076789469974,6.190896287009952e-05,2.7945017962197702e-05,0.00017067957124603826,3.0094634728520603e-06,3.267417484810808e-06,7.308697005497861e-06,3.465182227312515e-05,7.95358203539473e-05,0.00014445424669689888,2.57954011958748e-06,2.235601436975816e-06,0.0,4.815141556563296e-06,4.08427185601351e-05,0.00023499610489441944,2.57954011958748e-06,5.924343807985913e-05,0.00010034411065195297,5.270860311023751e-05,3.645750035683639e-05,1.71969341305832e-07,1.2811715927284485e-05,3.576962299161306e-05,6.01892694570412e-07,4.6431722152574645e-06,1.4617394010995721e-06,3.6973408380753883e-06,3.6973408380753883e-06,8.993996550295014e-05,4.127264191339968e-06,6.01892694570412e-07,1.977647425017068e-06,4.2906350655805084e-05,3.877908646446512e-05,1.9604504908864847e-05,3.0954481435049764e-06,7.738620358762441e-07,3.5253714967695565e-05,2.5709416525221887e-05,4.325028933841675e-05
for,1.633708742405404e-06,7.89339276593769e-05,4.213248861992884e-06,1.71969341305832e-06,1.3069669939243232e-05,1.7024964789277367e-05,4.385218203298716e-06,2.7859033291544785e-05,5.417034251133708e-06,6.113510083422329e-05,1.736890347188903e-05,9.630283113126592e-06,1.7540872813194865e-05,2.3215861076287323e-06,6.01892694570412e-07,2.063632095669984e-06,1.9690489579517764e-05,8.512482394638684e-06,9.673275448453051e-05,2.9234788021991442e-06,1.71969341305832e-06,8.5984670652916e-08,2.063632095669984e-06,1.4015501316425308e-05,3.344803688398433e-05,0.0,7.059341460604404e-05,8.693050203009809e-05,1.8916627543641522e-05,1.2123838562061156e-05,0.0,5.417034251133708e-06,4.2992335326458e-07,5.245064909827876e-06,1.5477240717524882e-06,2.57954011958748e-07,2.063632095669984e-06,4.471202873951632e-06,9.234753628123179e-05,3.0954481435049764e-06,2.57954011958748e-07,6.01892694570412e-07,1.2553761915325736e-05,2.493555448934564e-06,1.633708742405404e-06,6.87877365223328e-07,6.01892694570412e-07,1.117800718487908e-06,1.917458155560027e-05,2.3215861076287323e-06
that,3.6113561674224723e-06,0.0003723136239271263,0.00013095465340439108,5.15908023917496e-07,8.822027208989182e-05,0.00014299250729579932,9.871040190954758e-05,2.381775377085773e-05,9.234753628123179e-05,0.0006046442040313053,5.786768334941247e-05,9.716267783779509e-06,2.605335520783355e-05,2.5451462513263136e-05,1.2725731256631568e-05,4.213248861992884e-06,6.190896287009953e-06,2.063632095669984e-05,3.757530107532429e-05,3.181432814157892e-05,4.385218203298716e-06,8.5984670652916e-08,7.738620358762441e-07,4.7463538200409636e-05,5.7695714008106636e-05,5.15908023917496e-07,3.7833255087283045e-05,8.142748310831146e-05,3.035258874047935e-05,1.3929516645772393e-05,8.5984670652916e-08,3.542568430900139e-05,8.5984670652916e-07,7.738620358762441e-07,1.4617394010995721e-06,2.57954011958748e-07,2.063632095669984e-06,2.407570778281648e-06,6.87877365223328e-05,5.9329422750512045e-06,0.0,6.87877365223328e-07,1.1779899879449492e-05,2.665524790240396e-06,1.977647425017068e-06,6.01892694570412e-07,6.362865628315784e-06,2.063632095669984e-06,5.0644971014567524e-05,0.00010619106825635127
with,5.15908023917496e-07,5.116087903848502e-05,3.0094634728520603e-06,1.71969341305832e-07,5.674988263092456e-06,1.4703378681648636e-05,1.71969341305832e-06,2.8460925986115197e-05,2.57954011958748e-06,1.2123838562061156e-05,2.2098060357799414e-05,3.181432814157892e-06,8.082559041374104e-06,1.203785389140824e-06,1.633708742405404e-06,1.977647425017068e-06,5.7609729337453724e-06,2.751509460893312e-06,4.058476454817635e-05,7.738620358762441e-07,4.2992335326458e-07,0.0,6.01892694570412e-07,9.114375089209097e-06,2.476358514803981e-05,5.15908023917496e-07,4.729156885910381e-06,5.8899499397247466e-05,9.114375089209097e-06,1.1693915208796577e-05,0.0,2.9234788021991442e-06,8.5984670652916e-08,0.0,6.87877365223328e-07,0.0,3.5253714967695562e-06,1.71969341305832e-07,4.411013604494591e-05,2.1496167663229e-06,8.5984670652916e-08,5.15908023917496e-07,9.88823712508534e-06,2.837494131546228e-06,3.43938682611664e-07,1.71969341305832e-07,8.5984670652916e-08,1.28977005979374e-06,1.3069669939243232e-05,1.8056780837112361e-06
is,3.6973408380753883e-06,0.00011891679951298283,4.901126227216212e-06,1.031816047834992e-06,1.0576114490308669e-05,9.458313771820761e-06,7.566651017456608e-06,0.0007899411692883394,8.254528382679936e-06,1.607913341209529e-05,8.942405747903265e-06,4.041279520687052e-06,2.751509460893312e-06,3.6113561674224723e-06,6.01892694570412e-07,4.213248861992884e-06,0.000853741794912803,1.71969341305832e-06,0.0018979396353218149,3.267417484810808e-06,1.4617394010995721e-06,5.15908023917496e-07,3.293212886006683e-05,1.3241639280549064e-05,3.43938682611664e-06,1.71969341305832e-07,3.6113561674224723e-06,4.2562411973193424e-05,2.2098060357799414e-05,3.955294850034136e-06,6.844379783972114e-05,2.0550336286046927e-05,0.0001322444234641848,4.2992335326458e-07,6.87877365223328e-07,3.43938682611664e-07,1.203785389140824e-06,4.5571875446045485e-06,2.2184045028452327e-05,8.5984670652916e-07,1.71969341305832e-07,1.891662754364152e-06,1.1865884550102409e-05,3.43938682611664e-07,0.00028383539782527573,2.063632095669984e-06,3.43938682611664e-07,4.2992335326458e-07,7.437674011477235e-05,2.493555448934564e-06
