,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,6.106373017973091e-06,0.0013258462415274073,0.004619216755887561,1.5265932544932728e-06,0.0018240245069103787,0.0037439699566447515,0.0013787681410165075,0.000596134665879623,0.0006892568544037127,0.0005953713692523763,0.0013311893179181339,0.0004948706466649026,0.00013332247755907915,0.0009648069368397484,0.000640405870259928,6.004600134340206e-05,5.5466221579922244e-05,0.00019896598750228988,0.00014757068126768303,0.0009762563862484479,2.798754299904333e-06,5.088644181644242e-07,2.544322090822121e-07,5.470292495267561e-05,0.00012696167233202386,0.0,6.462578110688188e-05,0.0003121883205438743,9.43943495695007e-05,0.00014604408801318977,4.1726882289482786e-05,0.00041981314498565,3.892812798957845e-05,1.6792525799426e-05,6.869669645219727e-05,1.2976042663192819e-05,9.159559526959636e-06,0.0,4.0454721244071725e-05,2.5952085326385638e-05,0.0,2.035457672657697e-05,1.4248203708603879e-05,2.1117873353823605e-05,4.0454721244071725e-05,1.0177288363288484e-05,0.0002836919131266665,3.5620509271509696e-05,0.00014858841010401187,0.00010253618026013148
and,2.544322090822121e-07,8.141830690630788e-06,1.577479696309715e-05,2.289889881739909e-06,3.205845834435873e-05,4.478006879846933e-05,2.7733110789961122e-05,2.747867858087891e-05,1.3739339290439455e-05,1.6029229172179364e-05,3.129516171711209e-05,3.816483136233182e-06,7.1241018543019396e-06,5.343076390726454e-06,7.632966272466364e-06,5.088644181644242e-07,6.360805227055303e-06,4.325347554397606e-06,5.495735716175782e-05,5.343076390726454e-06,4.325347554397606e-06,2.544322090822121e-07,0.0,1.2721610454110605e-06,1.2721610454110605e-06,0.0,2.289889881739909e-06,2.798754299904333e-06,5.088644181644242e-07,2.9514136253536607e-05,2.7224246371796698e-05,1.3993771499521667e-05,6.8696696452197275e-06,3.0531865089865456e-06,3.5620509271509698e-06,1.5265932544932728e-06,3.3076187180687577e-06,2.544322090822121e-07,1.908241568116591e-05,1.1703881617781757e-05,0.0,3.3076187180687577e-06,2.544322090822121e-07,1.7810254635754849e-06,0.0,1.0177288363288485e-06,2.798754299904333e-06,1.7810254635754849e-06,8.396262899713e-06,7.887398481548576e-06
of,2.544322090822121e-07,8.599808666978769e-05,1.4757068126768303e-05,0.0,1.7301390217590424e-05,1.3230474872275031e-05,3.5620509271509698e-06,2.8496407417207758e-05,7.632966272466364e-06,4.6561094262044815e-05,5.851940808890878e-06,5.012314518919579e-05,5.597508599808666e-06,5.088644181644242e-06,4.070915345315394e-06,3.3076187180687577e-06,3.3076187180687577e-06,2.6460949744550062e-05,1.1703881617781757e-05,2.2644466608316877e-05,7.632966272466364e-07,0.0,0.0,1.7810254635754849e-06,7.632966272466364e-06,0.0,3.0531865089865456e-06,1.4248203708603879e-05,5.851940808890878e-06,2.4425492071892365e-05,6.106373017973091e-06,1.7810254635754849e-06,2.798754299904333e-06,2.798754299904333e-06,1.0177288363288485e-06,1.2721610454110605e-06,7.632966272466364e-07,0.0,7.887398481548576e-06,3.816483136233182e-06,0.0,0.0,1.0177288363288485e-06,2.544322090822121e-06,1.6792525799426e-05,0.0,4.83421197256203e-06,2.035457672657697e-06,0.00024654481060066354,1.2976042663192819e-05
a,2.289889881739909e-06,0.0007126646176392761,0.0011156852368255001,2.544322090822121e-07,0.000653636345132203,0.0011327321948340083,0.00045441592542083085,0.0001656353681125201,0.0006047853609884182,0.0008398807221803822,0.0004765515276109833,0.0006834049135948217,0.00017046958008508213,0.00019947485192045431,0.0003834293390868937,0.00013942885057705224,5.9282704716155425e-05,0.0003180402613527651,0.0002394207087463616,0.0002353497934010462,5.088644181644242e-07,7.632966272466364e-07,0.0,0.0001317958843045859,0.00010457163793278918,2.544322090822121e-07,7.174988296118382e-05,9.770196828756946e-05,0.00010126401921472043,9.66842394512406e-06,6.996885749760834e-05,8.243603574263672e-05,2.2644466608316877e-05,4.579779763479818e-05,1.6538093590343788e-05,2.3662195444645726e-05,1.4757068126768303e-05,0.0,0.00012009200268680412,3.0277432880783243e-05,0.0,9.413991736041848e-06,2.0100144517494757e-05,3.867369578049624e-05,2.5697653117303426e-05,0.0,0.0001699607156669177,2.6460949744550062e-05,1.2721610454110607e-05,3.6892670316920756e-05
to,1.0177288363288485e-06,0.0001048260701418714,8.905127317877424e-06,1.0177288363288485e-06,1.7810254635754848e-05,2.31533310264813e-05,2.0100144517494757e-05,3.9182560198660665e-05,5.088644181644242e-06,0.00015851126625821815,4.121801787131836e-05,2.417105986281015e-05,8.141830690630788e-06,1.5265932544932728e-06,3.0531865089865456e-06,2.8241975208125546e-05,1.094058499053512e-05,6.462578110688188e-05,0.00014731624905860082,1.5265932544932728e-06,1.7810254635754849e-06,0.0,2.544322090822121e-07,0.00011195017199617334,8.905127317877424e-06,0.0,8.828797655152761e-05,5.393962832542897e-05,2.3916627653727938e-05,1.3739339290439455e-05,8.905127317877424e-06,1.4502635917686091e-05,1.1703881617781757e-05,2.5952085326385638e-05,1.0431720572370696e-05,2.875083962628997e-05,7.632966272466364e-07,0.0,9.693867166032282e-05,3.765596694416739e-05,0.0,7.378534063384152e-06,2.798754299904333e-06,6.6152374361375154e-06,6.6152374361375154e-06,1.5265932544932728e-06,2.289889881739909e-06,2.8496407417207758e-05,1.0431720572370696e-05,2.060900893565918e-05
in,3.816483136233182e-06,0.0001742860632213153,1.5265932544932727e-05,7.632966272466364e-07,3.0531865089865455e-05,7.1241018543019396e-06,1.577479696309715e-05,5.724724704349773e-05,5.851940808890878e-06,0.00012772496895927047,2.035457672657697e-05,2.1372305562905817e-05,7.5566366097417e-05,2.544322090822121e-06,1.7810254635754849e-06,8.650695108795212e-06,8.396262899713e-06,5.9282704716155425e-05,7.327647621567709e-05,2.798754299904333e-06,1.7810254635754849e-06,0.0,0.0,8.141830690630788e-06,1.2212746035946183e-05,0.0,1.2212746035946183e-05,6.818783203403285e-05,2.9005271835372182e-05,3.612937368967412e-05,1.7810254635754848e-05,1.3739339290439455e-05,2.0863441144741393e-05,1.9591280099330333e-05,2.620651753546785e-05,1.2721610454110607e-05,2.035457672657697e-06,0.0,1.7555822426672636e-05,1.2721610454110607e-05,0.0,8.905127317877424e-06,4.83421197256203e-06,1.5011500335850515e-05,3.4093916017016424e-05,2.544322090822121e-07,5.088644181644242e-07,2.1117873353823605e-05,1.7046958008508212e-05,5.8010543670744365e-05
for,5.088644181644242e-07,5.368519611634676e-05,1.7810254635754849e-06,5.088644181644242e-07,8.396262899713e-06,1.3230474872275031e-05,1.5265932544932728e-06,1.3230474872275031e-05,3.3076187180687577e-06,3.231289055344094e-05,9.922856154206272e-06,8.905127317877424e-06,4.579779763479818e-06,2.544322090822121e-07,1.2721610454110605e-06,1.5265932544932728e-06,4.070915345315394e-06,7.1241018543019396e-06,2.2644466608316877e-05,1.5265932544932728e-06,7.632966272466364e-07,2.544322090822121e-07,0.0,1.0177288363288485e-06,2.544322090822121e-06,0.0,7.378534063384152e-06,3.231289055344094e-05,7.632966272466364e-06,2.4679924280974577e-05,5.088644181644242e-07,1.5265932544932728e-06,1.5265932544932728e-06,1.2721610454110605e-06,2.544322090822121e-07,2.544322090822121e-07,7.632966272466364e-07,0.0,1.6538093590343788e-05,7.378534063384152e-06,0.0,2.544322090822121e-07,7.632966272466364e-07,1.2721610454110605e-06,2.289889881739909e-06,2.544322090822121e-07,2.544322090822121e-07,2.035457672657697e-06,7.378534063384152e-06,0.0
that,2.035457672657697e-06,0.0001864988092572615,0.00011220460420525554,0.0,4.452563658938712e-05,9.337662073317185e-05,3.4348348226098636e-05,1.7555822426672636e-05,2.4425492071892365e-05,0.00014349976592236763,3.6892670316920756e-05,6.8696696452197275e-06,2.9514136253536607e-05,3.460278043518085e-05,4.83421197256203e-06,9.413991736041848e-06,1.0177288363288485e-06,3.841926357141403e-05,2.060900893565918e-05,3.892812798957845e-05,0.0,2.544322090822121e-07,0.0,7.632966272466364e-06,5.597508599808666e-06,0.0,1.7301390217590424e-05,5.0377577398278e-05,8.650695108795212e-06,5.851940808890878e-06,8.650695108795212e-06,2.6715381953632274e-05,3.0531865089865456e-06,4.070915345315394e-06,1.0177288363288485e-06,1.5265932544932728e-06,5.088644181644242e-07,0.0,1.7555822426672636e-05,8.141830690630788e-06,0.0,2.035457672657697e-06,1.7810254635754849e-06,1.0177288363288485e-06,5.088644181644242e-07,2.544322090822121e-07,1.1195017199617333e-05,1.7810254635754849e-06,1.6283661381261576e-05,9.821083270573388e-05
with,5.088644181644242e-07,3.7910399153249605e-05,7.632966272466364e-07,7.632966272466364e-07,6.106373017973091e-06,1.6792525799426e-05,2.798754299904333e-06,1.1195017199617333e-05,1.5265932544932728e-06,5.851940808890878e-06,9.66842394512406e-06,6.6152374361375154e-06,2.035457672657697e-06,2.544322090822121e-07,5.088644181644242e-07,1.2721610454110605e-06,6.360805227055303e-06,2.544322090822121e-06,2.9005271835372182e-05,1.0177288363288485e-06,0.0,0.0,0.0,1.7810254635754849e-06,2.289889881739909e-06,0.0,2.798754299904333e-06,2.035457672657697e-05,4.579779763479818e-06,5.088644181644242e-06,3.0531865089865456e-06,2.798754299904333e-06,3.0531865089865456e-06,2.544322090822121e-06,7.632966272466364e-07,1.7810254635754849e-06,2.544322090822121e-07,0.0,5.343076390726454e-06,1.0686152781452909e-05,0.0,0.0,2.544322090822121e-07,5.088644181644242e-07,2.544322090822121e-07,7.632966272466364e-07,5.088644181644242e-07,5.088644181644242e-07,5.597508599808666e-06,2.798754299904333e-06
is,7.632966272466364e-07,0.00017657595310305522,4.4016772171222694e-05,0.0,5.851940808890878e-06,2.5188788699139e-05,4.83421197256203e-06,0.00020685338598383846,5.088644181644242e-06,6.360805227055303e-06,5.597508599808666e-06,5.8010543670744365e-05,5.088644181644242e-07,7.632966272466364e-07,5.088644181644242e-07,2.035457672657697e-06,0.00018548108042093264,7.632966272466364e-07,0.00028496407417207757,1.2721610454110605e-06,2.544322090822121e-07,1.0177288363288485e-06,0.0,5.088644181644242e-07,1.7810254635754849e-06,0.0,1.0177288363288485e-06,5.164973844368906e-05,1.1195017199617333e-05,1.5265932544932728e-06,0.00011245903641433776,8.396262899713e-06,0.00011652995175965315,1.7810254635754849e-06,5.088644181644242e-07,2.544322090822121e-07,2.544322090822121e-07,0.0,1.1449449408699545e-05,1.5265932544932728e-06,0.0,0.0,2.544322090822121e-07,0.0,0.0001340857741863258,2.544322090822121e-07,2.544322090822121e-07,0.0,2.4425492071892365e-05,5.851940808890878e-06
