,0
0,1
1,2
2,6
3,11
4,12
5,14
6,15
7,17
8,18
9,25
10,26
11,27
12,31
13,32
14,34
15,35
16,36
17,37
18,39
19,41
20,49
21,52
22,54
23,56
24,60
25,65
26,66
27,69
28,74
29,78
30,79
31,86
32,87
33,88
34,93
35,94
36,100
37,104
38,106
39,108
40,111
41,114
42,115
43,116
44,119
45,122
46,130
47,131
48,134
49,138
50,139
51,140
52,144
53,148
54,156
55,161
56,162
57,167
58,168
59,170
60,171
61,172
62,173
63,175
64,180
65,182
66,185
67,187
68,189
69,192
70,196
71,201
72,206
73,208
74,211
75,213
76,214
77,216
78,221
79,226
80,230
81,231
82,233
83,238
84,244
85,246
86,247
87,249
88,255
89,259
90,265
91,267
92,269
93,270
94,277
95,283
96,285
97,288
98,289
99,290
100,291
101,292
102,295
103,296
104,300
105,302
106,303
107,304
108,305
109,306
110,309
111,310
112,311
113,312
114,314
115,315
116,319
117,324
118,326
119,328
120,343
121,344
122,348
123,349
124,351
125,352
126,353
127,355
128,356
129,365
130,366
131,371
132,373
133,384
134,386
135,388
136,389
137,393
138,398
139,401
140,402
141,406
142,408
143,412
144,417
145,423
146,428
147,436
148,437
149,439
150,440
151,446
152,447
153,453
154,454
155,457
156,458
157,475
158,476
159,477
160,482
161,485
162,488
163,491
164,492
165,496
166,499
167,501
168,504
169,506
170,507
171,508
172,519
173,521
174,523
175,528
176,532
177,536
178,542
179,543
180,545
181,546
182,549
183,556
184,557
185,558
186,559
187,563
188,565
189,572
190,573
191,574
192,581
193,584
194,601
195,604
196,610
197,615
198,621
199,623
200,624
201,627
202,628
203,631
204,634
205,637
206,639
207,642
208,644
209,648
210,650
211,652
212,653
213,656
214,659
215,663
216,667
217,670
218,677
219,682
220,699
221,705
222,707
223,713
224,716
225,724
226,725
227,726
228,728
229,733
230,741
231,744
232,746
233,755
234,756
235,758
236,759
237,760
238,762
239,763
240,766
241,767
242,768
243,769
244,775
245,778
246,779
247,781
248,785
249,788
250,793
251,795
252,796
253,797
254,799
255,800
256,806
257,814
258,818
259,820
260,829
261,832
262,836
263,838
264,844
265,847
266,848
267,850
268,851
269,852
270,856
271,858
272,863
273,867
274,870
275,874
276,877
277,878
278,884
279,886
280,894
281,895
282,897
283,899
284,900
285,901
286,904
287,907
288,908
289,910
290,915
291,916
292,917
293,919
294,922
295,924
296,926
297,928
298,935
299,938
300,941
301,948
302,950
303,953
304,962
305,963
306,971
307,972
308,974
309,976
310,978
311,979
312,981
313,989
314,991
315,992
316,994
317,996
318,997
319,998
320,1001
321,1003
322,1012
323,1013
324,1014
325,1018
326,1022
327,1025
328,1028
329,1029
330,1030
331,1031
332,1037
333,1039
334,1041
335,1049
336,1051
337,1052
338,1064
339,1065
340,1066
341,1068
342,1069
343,1072
344,1078
345,1080
346,1081
347,1083
348,1084
349,1086
350,1087
351,1088
352,1094
353,1098
354,1101
355,1106
356,1109
357,1111
358,1112
359,1113
360,1119
361,1125
362,1129
363,1131
364,1135
365,1137
366,1140
367,1142
368,1144
369,1147
370,1154
371,1157
372,1158
373,1159
374,1162
375,1165
376,1168
377,1170
378,1172
379,1178
380,1186
381,1187
382,1188
383,1191
384,1193
385,1194
386,1195
387,1196
388,1198
389,1199
390,1201
391,1209
392,1217
393,1235
394,1242
395,1249
396,1260
397,1261
398,1264
399,1266
400,1271
401,1276
402,1277
403,1278
404,1279
405,1280
406,1281
407,1288
408,1290
409,1294
410,1296
411,1299
412,1301
413,1303
414,1306
415,1313
416,1314
417,1322
418,1325
419,1333
420,1343
421,1344
422,1345
423,1347
424,1350
425,1351
426,1355
427,1357
428,1359
429,1371
430,1373
431,1374
432,1377
433,1381
434,1387
435,1390
436,1392
437,1397
438,1399
439,1400
440,1404
441,1408
442,1414
443,1416
444,1422
445,1423
446,1424
447,1425
448,1427
449,1428
450,1430
451,1432
452,1434
453,1435
454,1437
455,1443
456,1444
457,1445
458,1451
459,1456
460,1457
461,1459
462,1461
463,1462
464,1466
465,1468
466,1470
467,1472
468,1477
469,1482
470,1485
471,1486
472,1487
473,1488
474,1489
475,1491
476,1495
477,1496
478,1498
479,1499
480,1504
481,1506
482,1508
483,1509
484,1512
485,1514
486,1515
487,1516
488,1520
489,1526
490,1527
491,1533
492,1534
493,1535
494,1540
495,1541
496,1544
497,1547
498,1548
499,1550
500,1552
501,1553
502,1556
503,1557
504,1560
505,1564
506,1565
507,1569
508,1570
509,1575
510,1583
511,1585
512,1586
513,1588
514,1592
515,1595
516,1598
517,1600
518,1603
519,1604
520,1610
521,1612
522,1613
523,1619
524,1623
525,1625
526,1629
527,1640
528,1641
529,1643
530,1645
531,1649
532,1651
533,1653
534,1655
535,1656
536,1657
537,1671
538,1672
539,1674
540,1679
541,1684
542,1686
543,1687
544,1689
545,1690
546,1691
547,1693
548,1694
549,1696
550,1698
551,1699
552,1702
553,1703
554,1714
555,1715
556,1723
557,1724
558,1725
559,1726
560,1731
561,1733
562,1735
563,1738
564,1741
565,1744
566,1746
567,1752
568,1753
569,1757
570,1758
571,1767
572,1768
573,1773
574,1775
575,1778
576,1781
577,1784
578,1791
579,1792
580,1794
581,1800
582,1806
583,1811
584,1814
585,1816
586,1825
587,1827
588,1828
589,1833
590,1834
591,1841
592,1844
593,1845
594,1846
595,1849
596,1851
597,1853
598,1854
599,1859
600,1862
601,1879
602,1891
603,1892
604,1893
605,1894
606,1895
607,1901
608,1908
609,1909
610,1912
611,1913
612,1919
613,1921
614,1922
615,1926
616,1927
617,1932
618,1934
619,1935
620,1937
621,1939
622,1941
623,1947
624,1954
625,1955
626,1961
627,1962
628,1963
629,1964
630,1965
631,1968
632,1969
633,1970
634,1971
635,1972
636,1986
637,1988
638,1989
639,1990
640,1996
641,1997
642,1999
643,2003
644,2004
645,2005
646,2006
647,2009
648,2012
649,2013
650,2018
651,2022
652,2026
653,2027
654,2029
655,2033
656,2034
657,2037
658,2039
659,2047
660,2050
661,2052
662,2056
663,2057
664,2062
665,2063
666,2067
667,2076
668,2077
669,2079
670,2082
671,2086
672,2090
673,2091
674,2095
675,2099
676,2105
677,2108
678,2109
679,2113
680,2115
681,2116
682,2120
683,2122
684,2126
685,2130
686,2131
687,2145
688,2147
689,2148
690,2149
691,2151
692,2153
693,2154
694,2155
695,2161
696,2162
697,2164
698,2170
699,2171
700,2173
701,2174
702,2183
703,2186
704,2187
705,2189
706,2196
707,2197
708,2199
709,2204
710,2205
711,2212
712,2223
713,2226
714,2227
715,2232
716,2235
717,2236
718,2239
719,2247
720,2249
721,2250
722,2251
723,2264
724,2266
725,2267
726,2273
727,2274
728,2280
729,2285
730,2286
731,2297
732,2305
733,2313
734,2314
735,2318
736,2322
737,2323
738,2324
739,2331
740,2332
741,2336
742,2339
743,2340
744,2342
745,2344
746,2347
747,2350
748,2358
749,2361
750,2362
751,2363
752,2369
753,2376
754,2377
755,2379
756,2383
757,2384
758,2394
759,2395
760,2396
761,2398
762,2399
763,2402
764,2404
765,2405
766,2407
767,2410
768,2412
769,2413
770,2414
771,2418
772,2419
773,2421
774,2422
775,2425
776,2429
777,2430
778,2432
779,2435
780,2437
781,2438
782,2439
783,2442
784,2443
785,2449
786,2450
787,2451
788,2454
789,2455
790,2461
791,2476
792,2477
793,2481
794,2483
795,2484
796,2485
797,2486
798,2490
799,2491
800,2492
801,2493
802,2496
803,2499
804,2500
805,2501
806,2502
807,2511
808,2512
809,2516
810,2517
811,2518
812,2520
813,2521
814,2523
815,2526
816,2528
817,2536
818,2540
819,2542
820,2543
821,2544
822,2545
823,2546
824,2556
825,2558
826,2560
827,2561
828,2566
829,2568
830,2570
831,2572
832,2573
833,2576
834,2578
